canonical_player_id,fantasy_points_p10,fantasy_points_p25,fantasy_points_p50,fantasy_points_p75,fantasy_points_p90,full_name,league_format,league_id,position_model,profile_fingerprint,scoring_signature,source,status,team,unsupported_scoring_keys
00-0023459,119.75828115361803,143.40914417645558,163.38825635683747,171.4995246425902,181.33767679892298,Aaron Rodgers,DYNASTY,1312066407394975744,QB,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,PIT,[]
00-0026158,101.15758129573784,118.07067091111958,136.6408081051776,149.3264454116752,160.51054021226227,Joe Flacco,DYNASTY,1312066407394975744,QB,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,CIN,[]
00-0026498,167.2501417119416,198.30957661629645,227.78601904097025,238.3364275274539,248.69219110712703,Matthew Stafford,DYNASTY,1312066407394975744,QB,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,LA,[]
00-0027973,15.954266416480577,19.388749438329945,21.80662287392827,24.083672783938063,27.070430857962403,Andy Dalton,DYNASTY,1312066407394975744,QB,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,PHI,[]
00-0028118,49.10589758247317,59.20290576235651,66.58393966633558,74.21613666985888,82.48740990707181,Tyrod Taylor,DYNASTY,1312066407394975744,QB,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,GB,[]
00-0028986,45.66943348545462,53.10567868996838,58.368691422226725,62.96569662067967,68.1641364461866,Case Keenum,DYNASTY,1312066407394975744,QB,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,CHI,[]
00-0029604,73.22236232260559,87.73063800255193,98.88987559009476,108.77603601890073,116.66914500953227,Kirk Cousins,DYNASTY,1312066407394975744,QB,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,LV,[]
00-0030279,129.1564997269566,153.57402162486397,168.97940998232784,180.41123520140934,194.47274632648418,Keenan Allen,DYNASTY,1312066407394975744,WR,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,IND,[]
00-0030506,138.73312013197008,169.31597746107158,187.7683571257841,202.03412911223958,227.6735596612101,Travis Kelce,DYNASTY,1312066407394975744,TE,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,KC,[]
00-0030565,72.35158060212417,89.99417137127368,101.34983260117225,107.23097369695489,113.98795318339563,Geno Smith,DYNASTY,1312066407394975744,QB,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,NYJ,[]
00-0031235,30.57103185609565,37.228433472923996,41.820800601568806,46.715202171570375,51.075687187215266,Odell Beckham,DYNASTY,1312066407394975744,WR,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,NYG,[]
00-0031381,144.4971332063173,163.7513574002083,177.67894731772088,190.31765851228346,205.1938206183209,Davante Adams,DYNASTY,1312066407394975744,WR,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,LA,[]
00-0031408,72.95335576413078,85.53112425786192,92.79132505367907,102.30639770168466,108.98641519658993,Mike Evans,DYNASTY,1312066407394975744,WR,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,SF,[]
00-0031484,6.103494422829038,7.39707402500876,8.553604572572034,9.509237716871446,10.719897409948938,Chris Manhertz,DYNASTY,1312066407394975744,TE,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,NYG,[]
00-0031503,30.442097675659763,36.50435541504208,42.13783298004411,46.641909934918274,52.29013385595173,Jameis Winston,DYNASTY,1312066407394975744,QB,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,NYG,[]
00-0031588,160.14130412513308,184.33597602529736,200.4462081579555,215.80903945263142,232.14390198891687,Stefon Diggs,DYNASTY,1312066407394975744,WR,69b57e9485cb8dc2984274e6335eeb82157865eee2819d5a4e0908610f70f3a6,34391ae722b8b66d,GENERAL_PREVIEW_PHASE_A_EXACT_SCENARIO_REPLAY,READY_RESEARCH_ONLY,WAS,[]
