sleeper_id,canonical_player_id,full_name,identity_join_method,position_model,team,profile_team,team_changed,market_adp,market_adp_key,sleeper_market_projection,sleeper_market_projection_source,sleeper_market_raw_coverage,sleeper_market_missing_keys,sleeper_market_published_key,fie_season_mean,fie_ppg,p10,p25,p50,p75,p90,confidence,projection_source,scoring_coverage,scoring_unsupported,raw_projected_stats_per_game,active_return_scoring,validated_return_targets,driver_contributions_ppg,diagnostic_position_gate,diagnostic_status,diagnostic_eligible,diagnostic_raw_mean,diagnostic_raw_ppg,diagnostic_model_supported_mean,diagnostic_model_scoring_keys,diagnostic_model_unsupported,diagnostic_model_coverage,diagnostic_component_model_mean,diagnostic_component_market_mean,diagnostic_component_raw_delta,diagnostic_common_scoring_keys,diagnostic_bridge_unsupported,diagnostic_bridge_coverage,diagnostic_scoring_coverage,diagnostic_scoring_unsupported,diagnostic_driver_contributions_ppg,diagnostic_confidence,market_position_rank,fie_position_rank,comparison_eligible,rank_edge,fie_production_mean,diagnostic_center_offset,diagnostic_market_anchor_mean,diagnostic_model_anchor_mean,fie_diagnostic_mean,diagnostic_delta_points,diagnostic_delta_pct,diagnostic_position_rank,diagnostic_rank_delta,diagnostic_comparison_eligible,diagnostic_p10,diagnostic_p25,diagnostic_p50,diagnostic_p75,diagnostic_p90,reason,evidence_status
4984,00-0034857,Josh Allen,canonical_id,QB,BUF,BUF,False,8.1,adp_dynasty_ppr,351.5,SLEEPER_RAW_LEAGUE_REPLAY,1.0,,pts_ppr,351.5,20.676470588235293,310.3905418558305,329.6267384895167,351.119033118479,373.140779745049,392.4745878951583,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,352.8820574611729,20.757768085951348,352.8820574611729,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,352.8820574611729,,-56.14141281953516,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":3.63314804265335,""prev__rushing_tds"":1.5251456740439564,""prev__rushing_yards"":1.1293536691235755,""inside_5_carry_share_prior4"":1.0933327739004222,""xfp_residual_prior4"":0.929775248889966,""qb_rush_share_prior4"":0.6908421778235193,""opportunity_xfp_realized_prior4"":-0.5683005255031022,""prev__passing_tds"":0.4041612830376922}",74,1.0,1.0,False,,,-57.523470280708096,142.458431372549,199.9819016532571,295.35858718046484,-56.14141281953516,-15.971952437990089,1.0,0.0,True,254.24912903629536,273.48532566998153,294.97762029894386,316.99936692551387,336.3331750756231,"FIE diagnostic is lower; main model signals: prior-season fantasy production, prior rushing-TD production, prior rushing-yard production.",Diagnostic model
11564,00-0039851,Drake Maye,canonical_id,QB,NE,NE,False,23.4,adp_dynasty_ppr,309.76,SLEEPER_RAW_LEAGUE_REPLAY,0.875,rush_2pt,pts_ppr,309.76,18.221176470588237,269.96568304313087,288.2158639854218,308.95513106100776,330.3047672573289,350.84702579015675,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,322.0032055188879,18.941365030522817,322.0032055188879,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,322.0032055188879,,-45.28026476182015,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":2.8683438010125233,""xfp_residual_prior4"":1.5666153598091854,""prev__passing_tds"":0.6587153262101538,""prev__rushing_yards"":0.6438270371072382,""qb_rush_share_prior4"":0.5328530965412758,""prev__passing_yards"":0.479402660937443,""opportunity_xfp_realized_prior4"":-0.43386202906840826,""pfr_times_sacked_prior4"":0.36860804417731324}",74,2.0,3.0,False,,,-57.523470280708096,142.458431372549,199.9819016532571,264.47973523817984,-45.28026476182015,-14.617854068252887,4.0,-2.0,True,224.68541828131072,242.93559922360163,263.6748662991876,285.0245024955087,305.5667610283366,"FIE diagnostic is lower; main model signals: prior-season fantasy production, recent actual-vs-expected production gap, prior passing-TD production.",Diagnostic model
4881,00-0034796,Lamar Jackson,canonical_id,QB,BAL,BAL,False,32.9,adp_dynasty_ppr,318.0,SLEEPER_RAW_LEAGUE_REPLAY,0.875,rush_2pt,pts_ppr,318.0,18.705882352941178,277.50894967271995,296.63273367176095,317.9271567387123,338.7086641718333,358.2515356247926,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,270.00013055320943,15.882360620777025,270.00013055320943,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,270.00013055320943,,-105.52333972749868,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":1.3367562329564617,""opportunity_change_score_prior1"":0.7380407309990544,""prev__rushing_yards"":0.6625929897635348,""prev__passing_tds"":0.45573398734240556,""opportunity_xfp_realized_prior4"":0.35134988408560963,""team_pass_attempts_prior4_team"":-0.22154981376239175,""pfr_times_sacked_prior4"":0.19687229039435397,""qb_rush_share_prior4"":0.14942634844767683}",73,3.0,2.0,False,,,-57.523470280708096,142.458431372549,199.9819016532571,212.4766602725013,-105.52333972749868,-33.183440165880086,13.0,-10.0,True,171.98560994522128,191.10939394426228,212.40381701121365,233.1853244443346,252.72819589729397,"FIE diagnostic is lower; main model signals: prior-season fantasy production, recent role-change signal, prior rushing-yard production.",Diagnostic model
6770,00-0036442,Joe Burrow,canonical_id,QB,CIN,CIN,False,41.1,adp_dynasty_ppr,296.12,SLEEPER_RAW_LEAGUE_REPLAY,0.875,rush_2pt,pts_ppr,296.12,17.418823529411764,256.07896616377764,274.36791797303533,295.5122378376622,317.2278199051893,337.3301783770541,64,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,238.9613226371884,14.056548390422844,238.9613226371884,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,238.9613226371884,,-114.68214764351973,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":1.4393823585222743,""prev__passing_tds"":0.952707319733279,""xfp_residual_prior4"":0.9423832435673769,""prev__rushing_yards"":-0.4227517088204401,""opportunity_change_score_prior1"":-0.41132384682023315,""qb_rush_share_prior4"":-0.3212061751016412,""prev__rushing_tds"":-0.310137804370486,""prev__passing_yards"":0.26442256490695276}",72,4.0,6.0,False,,,-57.523470280708096,142.458431372549,199.9819016532571,181.43785235648028,-114.68214764351973,-38.72826814923671,26.0,-22.0,True,141.3968185202579,159.6857703295156,180.83009019414249,202.54567226166955,222.6480307335344,"FIE diagnostic is lower; main model signals: prior-season fantasy production, prior passing-TD production, recent actual-vs-expected production gap.",Diagnostic model
11566,00-0039910,Jayden Daniels,canonical_id,QB,WAS,WAS,False,44.8,adp_dynasty_ppr,299.72,SLEEPER_RAW_LEAGUE_REPLAY,0.875,rush_2pt,pts_ppr,299.72,17.63058823529412,259.4917940940745,278.1496313501036,299.10049477854363,320.66803023278914,340.21955431911084,63,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,276.76057328782014,16.28003372281295,276.76057328782014,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,276.76057328782014,,-80.48289699288799,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev__rushing_yards"":1.3055771886084524,""prev_fantasy_ppg"":1.2626759899363487,""qb_rush_share_prior4"":0.907690588858432,""opportunity_xfp_realized_prior4"":-0.7602070076620007,""pfr_times_pressured_pct_prior4"":0.698109711340358,""inside_5_carry_share_prior4"":-0.49658439326665754,""opportunity_change_score_prior1"":0.39651933434460795,""pfr_times_sacked_prior4"":0.36860804417731324}",71,5.0,5.0,False,,,-57.523470280708096,142.458431372549,199.9819016532571,219.23710300711204,-80.48289699288799,-26.852694846152403,11.0,-6.0,True,179.00889710118653,197.66673435721563,218.61759778565565,240.18513323990115,259.7366573262228,"FIE diagnostic is lower; main model signals: prior rushing-yard production, prior-season fantasy production, recent QB rushing role.",Diagnostic model
11560,00-0039918,Caleb Williams,canonical_id,QB,CHI,CHI,False,52.0,adp_dynasty_ppr,289.34,SLEEPER_RAW_LEAGUE_REPLAY,0.875,rush_2pt,pts_ppr,289.34,17.02,249.28304089705605,267.99563149516024,289.0381409058361,310.0924298324866,328.9348095986504,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,241.9817812260304,14.234222425060612,241.9817812260304,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,241.9817812260304,,-104.88168905467768,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":2.150330185248729,""pfr_times_pressured_pct_prior4"":-1.2849095444316636,""pfr_times_sacked_prior4"":-0.6618064785204426,""xfp_residual_prior4"":0.6166659610793669,""opportunity_xfp_realized_prior4"":-0.512102128122186,""prev__rushing_yards"":0.46159381010753847,""prev__passing_tds"":0.42925816053356863,""prev__passing_yards"":0.30268794685554884}",74,6.0,10.0,False,,,-57.523470280708096,142.458431372549,199.9819016532571,184.4583109453223,-104.88168905467768,-36.24859647980842,22.0,-16.0,True,144.40135184237835,163.11394244048256,184.1564518511584,205.2107407778089,224.05312054397268,"FIE diagnostic is lower; main model signals: prior-season fantasy production, recent pressure rate, pfr times sacked.",Diagnostic model
6904,00-0036389,Jalen Hurts,canonical_id,QB,PHI,PHI,False,61.2,adp_dynasty_ppr,302.54,SLEEPER_RAW_LEAGUE_REPLAY,0.875,rush_2pt,pts_ppr,302.54,17.79647058823529,262.5733309769488,281.3010156138198,302.1891306379253,323.339678123618,342.6302662213207,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,291.7393694119579,17.161139377173996,291.7393694119579,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,291.7393694119579,,-68.32410086875015,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":2.1761391932973297,""pfr_times_pressured_pct_prior4"":0.8578790352651194,""prev__rushing_tds"":0.7385956118663382,""pfr_times_sacked_prior4"":-0.6618064785204426,""inside_5_carry_share_prior4"":0.6597190010366727,""prev__rushing_yards"":0.6359278145659205,""opportunity_change_score_prior1"":0.5062183371368714,""opportunity_xfp_realized_prior4"":-0.44395528650484584}",74,7.0,4.0,False,,,-57.523470280708096,142.458431372549,199.9819016532571,234.2158991312498,-68.32410086875015,-22.583493378974733,9.0,-2.0,True,194.24923010819865,212.97691474506965,233.86502976917515,255.01557725486785,274.3061653525706,"FIE diagnostic is lower; main model signals: prior-season fantasy production, recent pressure rate, prior rushing-TD production.",Diagnostic model
6797,00-0036355,Justin Herbert,canonical_id,QB,LAC,LAC,False,71.0,adp_dynasty_ppr,285.48,SLEEPER_RAW_LEAGUE_REPLAY,0.875,rush_2pt,pts_ppr,285.48,16.79294117647059,245.1618584954024,263.5821981006836,284.97270321851823,306.7490039988185,326.43886380035724,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,261.4671877311293,15.380422807713488,261.4671877311293,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,261.4671877311293,,-81.53628254957883,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":1.8510859289192871,""pfr_times_pressured_pct_prior4"":-1.21442307799427,""pfr_times_sacked_prior4"":1.0555510593091504,""prev__rushing_yards"":0.876394844951613,""prev__passing_tds"":0.46511084267053515,""opportunity_change_score_prior1"":-0.4042201709069039,""prev__passing_yards"":0.3097008233684779,""xfp_residual_prior4"":0.28012275771077855}",74,8.0,11.0,False,,,-57.523470280708096,142.458431372549,199.9819016532571,203.9437174504212,-81.53628254957883,-28.56111900994074,15.0,-7.0,True,163.62557594582358,182.04591555110477,203.4364206689394,225.2127214492397,244.9025812507784,"FIE diagnostic is lower; main model signals: prior-season fantasy production, recent pressure rate, pfr times sacked.",Diagnostic model
12508,00-0040691,Jaxson Dart,canonical_id,QB,NYG,NYG,False,74.5,adp_dynasty_ppr,284.54,SLEEPER_RAW_LEAGUE_REPLAY,0.875,rush_2pt,pts_ppr,284.54,16.73764705882353,244.3840579763061,263.0839035865999,284.1906414449581,305.35646136710324,325.0168023998645,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,244.36165525313004,14.374215014890002,244.36165525313004,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,244.36165525313004,,-97.70181502757808,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":1.6037756072808673,""inside_5_carry_share_prior4"":-1.0747360904183234,""prev__rushing_yards"":1.0593103968219915,""prev__rushing_tds"":1.0382337307911451,""pfr_times_pressured_pct_prior4"":-0.4813638270453706,""qb_rush_share_prior4"":0.441971402889733,""pfr_times_sacked_prior4"":0.36860804417731324,""opportunity_xfp_realized_prior4"":-0.3436076481619769}",73,9.0,12.0,False,,,-57.523470280708096,142.458431372549,199.9819016532571,186.83818497242197,-97.70181502757808,-34.33675934054195,21.0,-12.0,True,146.68224294872803,165.3820885590218,186.48882641738,207.6546463395252,227.3149873722864,"FIE diagnostic is lower; main model signals: prior-season fantasy production, recent goal-line carry share, prior rushing-yard production.",Diagnostic model
11563,00-0039732,Bo Nix,canonical_id,QB,DEN,DEN,False,80.2,adp_dynasty_ppr,283.72,SLEEPER_RAW_LEAGUE_REPLAY,0.875,rush_2pt,pts_ppr,283.72,16.689411764705884,243.84156528038653,262.3942309861064,283.41082214853435,304.2128186234617,324.4238261201498,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,257.89530665313583,15.170312156066814,257.89530665313583,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,257.89530665313583,,-83.34816362757229,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":1.8517331767700358,""inside_5_carry_share_prior4"":1.5269465467641712,""opportunity_xfp_realized_prior4"":-1.0815641356150767,""pfr_times_sacked_prior4"":-0.49007072473748325,""opportunity_change_score_prior1"":-0.47754680688182033,""qb_rush_share_prior4"":0.4728741166856555,""prev__rushing_yards"":0.36753795101091935,""prev__passing_tds"":0.3145295776952762}",74,10.0,13.0,False,,,-57.523470280708096,142.458431372549,199.9819016532571,200.3718363724277,-83.34816362757229,-29.376908088105274,18.0,-8.0,True,160.49340165281424,179.0460673585341,200.0626585209621,220.86465499588945,241.0756624925775,"FIE diagnostic is lower; main model signals: prior-season fantasy production, recent goal-line carry share, recent opportunity-based expected production.",Diagnostic model
