market_player_key,canonical_player_id,sleeper_id,full_name,position_model,market_adp,opening_adp,adp_change_from_open,adp_change_7d,adp_change_21d,market_snapshot_count,latest_market_as_of
00-0016919,00-0016919,120,Adam Vinatieri,K,685.3,487.5,-197.79999999999995,-197.79999999999995,-197.79999999999995,2,2026-09-08
00-0019596,00-0019596,167,Tom Brady,QB,293.1,290.5,-2.6000000000000227,-2.6000000000000227,-2.6000000000000227,2,2026-09-08
00-0020531,00-0020531,289,Drew Brees,QB,699.5,641.7,-57.799999999999955,-57.799999999999955,-57.799999999999955,2,2026-09-08
00-0020578,00-0020578,127,Matt Bryant,K,481.4,397.5,-83.89999999999998,-83.89999999999998,-83.89999999999998,2,2026-09-08
00-0021206,00-0021206,208,Josh McCown,QB,676.9,697.1,20.200000000000045,20.200000000000045,20.200000000000045,2,2026-09-08
00-0022127,00-0022127,23,Jason Witten,TE,577.9,442.9,-135.0,-135.0,-135.0,2,2026-09-08
00-0022787,00-0022787,178,Matt Schaub,QB,625.2,546.0,-79.20000000000005,-79.20000000000005,-79.20000000000005,2,2026-09-08
00-0022921,00-0022921,223,Larry Fitzgerald,WR,662.0,628.5,-33.5,-33.5,-33.5,2,2026-09-08
00-0022924,00-0022924,138,Ben Roethlisberger,QB,694.7,614.2,-80.5,-80.5,-80.5,2,2026-09-08
00-0022942,00-0022942,331,Philip Rivers,QB,700.9,663.6,-37.299999999999955,-37.299999999999955,-37.299999999999955,2,2026-09-08
00-0023436,00-0023436,268,Alex Smith,QB,688.2,584.8,-103.40000000000009,-103.40000000000009,-103.40000000000009,2,2026-09-08
00-0023459,00-0023459,96,Aaron Rodgers,QB,305.5,304.2,-1.3000000000000114,-1.3000000000000114,-1.3000000000000114,2,2026-09-08
00-0023500,00-0023500,232,Frank Gore,RB,633.6,633.6,0.0,0.0,0.0,2,2026-09-08
00-0023564,00-0023564,246,Darren Sproles,RB,671.8,595.5,-76.29999999999995,-76.29999999999995,-76.29999999999995,2,2026-09-08
00-0023682,00-0023682,333,Ryan Fitzpatrick,QB,683.3,654.5,-28.799999999999955,-28.799999999999955,-28.799999999999955,2,2026-09-08
00-0023853,00-0023853,17,Matt Prater,K,556.3,460.7,-95.59999999999997,-95.59999999999997,-95.59999999999997,2,2026-09-08
00-0024221,00-0024221,200,Vernon Davis,TE,685.3,685.3,0.0,0.0,0.0,2,2026-09-08
00-0024243,00-0024243,111,Marcedes Lewis,TE,530.0,530.0,0.0,0.0,0.0,1,2026-09-08
00-0024333,00-0024333,110,Stephen Gostkowski,K,686.5,466.8,-219.7,-219.7,-219.7,2,2026-09-08
00-0025394,00-0025394,184,Adrian Peterson,RB,679.4,680.2,0.8000000000000682,0.8000000000000682,0.8000000000000682,2,2026-09-08
00-0025396,00-0025396,695,Ted Ginn,WR,663.1,663.1,0.0,0.0,0.0,2,2026-09-08
00-0025399,00-0025399,745,Marshawn Lynch,RB,697.4,653.9,-43.5,-43.5,-43.5,2,2026-09-08
00-0025430,00-0025430,181,Drew Stanton,QB,480.0,480.0,0.0,0.0,0.0,1,2026-09-08
00-0025565,00-0025565,650,Nick Folk,K,691.1,691.1,0.0,0.0,0.0,2,2026-09-08
00-0025580,00-0025580,59,Mason Crosby,K,526.6,404.2,-122.40000000000003,-122.40000000000003,-122.40000000000003,2,2026-09-08
00-0025708,00-0025708,233,Matt Moore,QB,379.0,379.0,0.0,0.0,0.0,1,2026-09-08
00-0025944,00-0025944,775,Steven Hauschka,K,680.1,665.3,-14.800000000000068,-14.800000000000068,-14.800000000000068,2,2026-09-08
00-0026035,00-0026035,491,Danny Amendola,WR,611.3,611.3,0.0,0.0,0.0,2,2026-09-08
00-0026143,00-0026143,24,Matt Ryan,QB,683.9,683.9,0.0,0.0,0.0,2,2026-09-08
00-0026158,00-0026158,19,Joe Flacco,QB,699.3,699.3,0.0,0.0,0.0,2,2026-09-08
00-0026189,00-0026189,147,DeSean Jackson,WR,700.0,645.0,-55.0,-55.0,-55.0,2,2026-09-08
00-0026197,00-0026197,89,Chad Henne,QB,689.8,605.8,-84.0,-84.0,-84.0,2,2026-09-08
00-0026498,00-0026498,421,Matthew Stafford,QB,130.9,132.9,2.0,2.0,2.0,2,2026-09-08
00-0026544,00-0026544,490,Chase Daniel,QB,682.0,682.0,0.0,0.0,0.0,2,2026-09-08
00-0026625,00-0026625,345,Brian Hoyer,QB,495.9,406.3,-89.59999999999997,-89.59999999999997,-89.59999999999997,2,2026-09-08
00-0026968,00-0026968,391,Ryan Succop,K,621.5,679.0,57.5,57.5,57.5,2,2026-09-08
00-0026986,00-0026986,455,Michael Crabtree,WR,695.3,668.3,-27.0,-27.0,-27.0,2,2026-09-08
00-0027029,00-0027029,676,LeSean McCoy,RB,678.5,659.9,-18.600000000000023,-18.600000000000023,-18.600000000000023,2,2026-09-08
00-0027061,00-0027061,367,Jared Cook,TE,673.5,618.5,-55.0,-55.0,-55.0,2,2026-09-08
00-0027150,00-0027150,344,Julian Edelman,WR,541.3,483.4,-57.89999999999998,-57.89999999999998,-57.89999999999998,2,2026-09-08
00-0027656,00-0027656,515,Rob Gronkowski,TE,604.0,533.6,-70.39999999999998,-70.39999999999998,-70.39999999999998,2,2026-09-08
00-0027685,00-0027685,538,Emmanuel Sanders,WR,686.0,686.0,0.0,0.0,0.0,2,2026-09-08
