sleeper_id,canonical_player_id,full_name,identity_join_method,position_model,team,profile_team,team_changed,market_adp,market_adp_key,sleeper_market_projection,sleeper_market_projection_source,sleeper_market_raw_coverage,sleeper_market_missing_keys,sleeper_market_published_key,fie_season_mean,fie_ppg,p10,p25,p50,p75,p90,confidence,projection_source,scoring_coverage,scoring_unsupported,raw_projected_stats_per_game,active_return_scoring,validated_return_targets,driver_contributions_ppg,diagnostic_position_gate,diagnostic_status,diagnostic_eligible,diagnostic_raw_mean,diagnostic_raw_ppg,diagnostic_model_supported_mean,diagnostic_model_scoring_keys,diagnostic_model_unsupported,diagnostic_model_coverage,diagnostic_component_model_mean,diagnostic_component_market_mean,diagnostic_component_raw_delta,diagnostic_common_scoring_keys,diagnostic_bridge_unsupported,diagnostic_bridge_coverage,diagnostic_scoring_coverage,diagnostic_scoring_unsupported,diagnostic_driver_contributions_ppg,diagnostic_confidence,market_position_rank,fie_position_rank,comparison_eligible,rank_edge,fie_production_mean,diagnostic_center_offset,diagnostic_market_anchor_mean,diagnostic_model_anchor_mean,fie_diagnostic_mean,diagnostic_delta_points,diagnostic_delta_pct,diagnostic_position_rank,diagnostic_rank_delta,diagnostic_comparison_eligible,diagnostic_p10,diagnostic_p25,diagnostic_p50,diagnostic_p75,diagnostic_p90,reason,evidence_status
260,00-0026300,Josh Johnson,canonical_id,QB,,WAS,False,691.6,adp_dynasty_2qb,11.34,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.5,fum_lost|pass_2pt|rush_2pt|rush_td,pts_ppr,11.34,0.6670588235294117,-12.727764294226102,-2.818644004109061,9.40803209613786,23.39814804463043,37.744459822550354,62,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,148.8602429532872,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,148.8602429532872,,76.06875141224717,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""prev_fantasy_ppg"":-1.4659491791647319,""opportunity_xfp_realized_prior4"":1.225480491077947,""prev__passing_tds"":-0.9311655869588028,""snap_share_prior4"":-0.6269229722059529,""pfr_times_sacked_prior4"":-0.6259917676965533,""xfp_residual_prior4"":-0.49273355337825514,""prev__passing_yards"":-0.4778596431099256,""qb_rush_share_prior4"":-0.4151908812563835}",70,165.0,77.0,False,,,-61.45149154104004,147.8505882352941,209.30207977633412,87.40875141224717,76.06875141224717,670.8002770039433,46.0,119.0,True,63.34098711802106,73.2501074081381,85.47678350838503,99.4668994568776,113.81321123479752,"FIE diagnostic is higher; main model signals: prior-season fantasy production, recent opportunity-based expected production, prior passing-TD production. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: kr_yd, pr_yd.",Diagnostic model
1837,00-0031345,Jimmy Garoppolo,canonical_id,QB,,LA,False,596.0,adp_dynasty_2qb,12.32,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.5,fum_lost|pass_2pt|rush_2pt|rush_td,pts_ppr,12.32,0.7247058823529412,-12.067678326423517,-1.9431107344434224,10.633392763793218,24.52092959187569,38.82962709096424,62,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,90.03367175496716,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,90.03367175496716,,16.262180213927117,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""prev_fantasy_ppg"":-4.307815130037471,""opportunity_xfp_realized_prior4"":2.1714901110894935,""prev__passing_yards"":-1.4283608188207626,""prev__passing_tds"":-1.3121392878642641,""prev__rushing_yards"":-0.8548994486712389,""snap_share_prior4"":-0.8322658014315079,""xfp_residual_prior4"":-0.49699537704613705,""prev__rushing_tds"":-0.31092475400187297}",70,114.0,67.0,False,,,-61.45149154104004,147.8505882352941,209.30207977633412,28.58218021392712,16.262180213927117,131.9982160221357,56.0,58.0,True,4.194501887503602,14.319069479483694,26.89557297772033,40.78310980580281,55.09180730489136,"FIE diagnostic is higher; main model signals: prior-season fantasy production, recent opportunity-based expected production, prior passing-yard production. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: kr_yd, pr_yd.",Diagnostic model
10217,00-0038582,Clayton Tune,canonical_id,QB,,GB,False,601.2,adp_dynasty_2qb,12.4,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.5,fum_lost|pass_2pt|rush_2pt|rush_td,pts_ppr,12.4,0.7294117647058824,-11.932981682192263,-1.9855851203414476,10.69816329174168,24.71897769278389,38.92779887316169,62,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,68.86502135956613,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,68.86502135956613,,-4.986470181473914,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""prev_fantasy_ppg"":-3.740064700845583,""prev__passing_tds"":-1.3121392878642641,""prev__passing_yards"":-1.267388845514895,""snap_share_prior4"":-1.1774165143850999,""qb_rush_share_prior4"":-0.470267857869904,""prev__rushing_tds"":-0.31092475400187297,""opportunity_xfp_realized_prior4"":-0.11471954562027808,""team_pass_attempts_prior4_team"":-0.10563307088604373}",70,116.0,62.0,False,,,-61.45149154104004,147.8505882352941,209.30207977633412,7.4135298185260865,-4.986470181473914,-40.21346920543479,75.0,41.0,True,-16.919451863666175,-6.972055301815361,5.711693110267765,19.732507511309983,33.94132869168778,"FIE diagnostic is lower; main model signals: prior-season fantasy production, prior passing-TD production, prior passing-yard production. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: kr_yd, pr_yd.",Diagnostic model
2307,00-0032268,Marcus Mariota,canonical_id,QB,WAS,WAS,False,340.3,adp_dynasty_2qb,13.12,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.5,fum_lost|pass_2pt|rush_2pt|rush_td,pts_ppr,13.12,0.7717647058823529,-10.829890077633689,-0.9323441252049278,11.288304305100006,25.158380299086723,39.26338797521833,64,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,226.31376387381,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,226.31376387381,,151.74227233276994,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""inside_5_carry_share_prior4"":0.9790950353568675,""prev__rushing_yards"":0.8142481888386235,""qb_rush_share_prior4"":0.4483570243956435,""xfp_residual_prior4"":-0.4102247974453106,""opportunity_xfp_realized_prior4"":-0.305340970712356,""pfr_times_sacked_prior4"":-0.30110776738384243,""pfr_times_pressured_pct_prior4"":0.28768256871173253,""prev__passing_tds"":-0.1692181851478796}",72,53.0,51.0,False,,,-61.45149154104004,147.8505882352941,209.30207977633412,164.86227233276995,151.74227233276994,1156.5721976583077,29.0,24.0,True,140.9123822551363,150.809928207565,163.03057663786996,176.90065263185667,191.00566030798828,"FIE diagnostic is higher; main model signals: recent goal-line carry share, prior rushing-yard production, recent QB rushing role. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: kr_yd, pr_yd.",Diagnostic model
11562,00-0039376,Spencer Rattler,canonical_id,QB,NO,NO,False,389.2,adp_dynasty_2qb,12.68,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.5,fum_lost|pass_2pt|rush_2pt|rush_td,pts_ppr,12.68,0.7458823529411764,-11.58747972803824,-1.3925301897204747,10.91009506275828,24.816868906642306,38.66680248880497,64,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,197.629738225064,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,197.629738225064,,123.49824668402394,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""prev_fantasy_ppg"":-0.6010033699144469,""xfp_residual_prior4"":-0.5446382298047096,""qb_rush_share_prior4"":0.3158075095669542,""prev__rushing_tds"":-0.31092475400187297,""prev__passing_tds"":-0.29620941878303353,""prev__rushing_yards"":0.2511284174217412,""pfr_times_sacked_prior4"":0.18621823308522362,""opportunity_change_score_prior1"":0.1368270306352403}",72,60.0,55.0,False,,,-61.45149154104004,147.8505882352941,209.30207977633412,136.17824668402395,123.49824668402394,973.9609359938796,36.0,24.0,True,111.91076695598572,122.10571649430346,134.4083417467822,148.31511559066624,162.1650491728289,"FIE diagnostic is higher; main model signals: prior-season fantasy production, recent actual-vs-expected production gap, recent QB rushing role. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: kr_yd, pr_yd.",Diagnostic model
11439,00-0038794,Jaleel McLaughlin,canonical_id,RB,DEN,DEN,False,696.0,adp_dynasty_2qb,7.5,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.375,fum_lost|rec_2pt|rec_td|rush_2pt|rush_td,pts_ppr,7.5,0.4411764705882353,-11.30198686361069,-3.722201418389865,5.903481537996619,16.931714829888556,28.09683731026454,64,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,68.74709364835911,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,68.74709364835911,,33.423987303145225,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""prev_fantasy_ppg"":-1.2811040562559082,""opportunity_xfp_realized_prior4"":-0.5043326780934332,""prev__receptions"":-0.43075806331471184,""carry_share_prior4"":-0.35221500178359494,""prev__receiving_yards"":-0.31180929251792694,""prev__rushing_yards"":-0.3029405245772374,""offense_snap_share_prior4"":0.2639851956170858,""target_share_prior4"":-0.22478632459894768}",72,243.0,112.0,False,,,-27.823106345213887,93.21724137931034,121.04034772452422,40.923987303145225,33.423987303145225,445.6531640419363,80.0,163.0,True,22.12200043953453,29.70178588475536,39.32746884114184,50.35570213303378,61.520824613409765,"FIE diagnostic is higher; main model signals: prior-season fantasy production, recent opportunity-based expected production, prior reception volume. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: kr_yd, pr_yd.",Diagnostic model
6945,00-0036328,Antonio Gibson,canonical_id,RB,,NE,False,681.9,adp_dynasty_2qb,3.9,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.375,fum_lost|rec_2pt|rec_td|rush_2pt|rush_td,pts_ppr,3.9,0.2294117647058823,-14.38110896364941,-6.879863481867609,2.644981657823997,13.173582444374937,23.99778377331149,63,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,57.44566193625575,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,57.44566193625575,,25.722555591041868,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""prev_fantasy_ppg"":-1.4407400798826902,""backfield_competitor_count"":-0.5027894629657871,""prev__receptions"":-0.4696009780234618,""opportunity_xfp_realized_prior4"":-0.4348921143474625,""prev__receiving_yards"":-0.38989212672660284,""carry_share_prior4"":-0.3755885363195404,""prev__rushing_yards"":-0.3730199784436441,""offense_snap_share_prior4"":0.2510692898530899}",71,219.0,132.0,False,,,-27.823106345213887,93.21724137931034,121.04034772452422,29.622555591041863,25.722555591041868,659.552707462612,93.0,126.0,True,11.341446627392456,18.84269210917426,28.367537248865865,38.8961380354168,49.72033936435336,"FIE diagnostic is higher; main model signals: prior-season fantasy production, number of backfield competitors, prior reception volume. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: kr_yd, pr_yd.",Diagnostic model
4098,00-0033923,Kareem Hunt,canonical_id,RB,,KC,False,548.1,adp_dynasty_2qb,24.2,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.5,fum_lost|rec_2pt|rec_td|rush_2pt,pts_ppr,24.2,1.423529411764706,4.014476787086075,12.410229379643088,22.90574754303591,34.50717546996691,46.39920296901184,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,133.0692002082366,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,133.0692002082366,,81.0460938630227,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""backfield_competitor_count"":0.6755946165993665,""opportunity_change_score_prior1"":0.33841074931470033,""prev_fantasy_ppg"":0.24216630867278066,""prev__receptions"":-0.213694716412874,""target_share_prior4"":-0.15868169148835815,""prev__rushing_tds"":0.14884864181977292,""xfp_residual_prior4"":-0.14466915334251748,""offense_snap_share_prior4"":-0.13640788306678875}",74,151.0,94.0,False,,,-27.823106345213887,93.21724137931034,121.04034772452422,105.24609386302272,81.0460938630227,334.9012143100112,49.0,102.0,True,85.06057065010879,93.4563232426658,103.95184140605862,115.5532693329896,127.44529683203454,"FIE diagnostic is higher; main model signals: number of backfield competitors, recent role-change signal, prior-season fantasy production. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: kr_yd, pr_yd.",Diagnostic model
6659,00-0035567,Craig Reynolds,canonical_id,RB,,DET,False,685.4,adp_dynasty_2qb,4.4,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.375,fum_lost|rec_2pt|rec_td|rush_2pt|rush_td,pts_ppr,4.4,0.2588235294117647,-13.771651025059686,-6.458174268191648,3.1242511925713288,13.598540425868263,24.38326799223387,63,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,7.788508777680579,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,7.788508777680579,,-24.43459756753331,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""prev_fantasy_ppg"":-2.546672119853795,""prev__rushing_yards"":-1.0303169250526991,""carry_share_prior4"":-0.8220094756230859,""opportunity_xfp_realized_prior4"":-0.7702775036913999,""prev__receptions"":-0.6249726368584615,""backfield_competitor_count"":-0.5027894629657871,""offense_snap_share_prior4"":0.4544948056360261,""prev__receiving_yards"":-0.43297231111759643}",71,228.0,127.0,False,,,-27.823106345213887,93.21724137931034,121.04034772452422,-20.03459756753331,-24.43459756753331,-555.3317628984843,133.0,95.0,True,-38.206248592593,-30.89277183572496,-21.31034637496198,-10.836057141665044,-0.0513295752994409,"FIE diagnostic is lower; main model signals: prior-season fantasy production, prior rushing-yard production, recent carry share. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: kr_yd, pr_yd.",Diagnostic model
2749,00-0031687,Raheem Mostert,canonical_id,RB,,LV,False,656.5,adp_dynasty_2qb,12.5,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.375,fum_lost|rec_2pt|rec_td|rush_2pt|rush_td,pts_ppr,12.5,0.7352941176470589,-6.501533104955691,1.1137040771243392,11.051664634288876,22.24708741692804,33.429031487206025,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,47.77466124889698,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,47.77466124889698,,7.451554903683103,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""prev_fantasy_ppg"":-1.766595055945605,""carry_share_prior4"":-0.8195500897492635,""prev__rushing_yards"":-0.776849475053129,""opportunity_xfp_realized_prior4"":-0.6289785893753462,""prev__receptions"":-0.2365434897709622,""prev__receiving_yards"":-0.2235547481058219,""offense_snap_share_prior4"":0.22200850188409885,""prev__rushing_tds"":-0.15020772141459218}",73,193.0,99.0,False,,,-27.823106345213887,93.21724137931034,121.04034772452422,19.951554903683103,7.451554903683103,59.61243922946483,102.0,91.0,True,0.9500217987274128,8.565258980807442,18.50321953797198,29.698642320611143,40.88058639088913,"FIE diagnostic is higher; main model signals: prior-season fantasy production, recent carry share, prior rushing-yard production. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: kr_yd, pr_yd.",Diagnostic model
