sleeper_id,canonical_player_id,full_name,identity_join_method,position_model,team,profile_team,team_changed,market_adp,market_adp_key,sleeper_market_projection,sleeper_market_projection_source,sleeper_market_raw_coverage,sleeper_market_missing_keys,sleeper_market_published_key,fie_season_mean,fie_ppg,p10,p25,p50,p75,p90,confidence,projection_source,scoring_coverage,scoring_unsupported,raw_projected_stats_per_game,active_return_scoring,validated_return_targets,driver_contributions_ppg,diagnostic_position_gate,diagnostic_status,diagnostic_eligible,diagnostic_raw_mean,diagnostic_raw_ppg,diagnostic_model_supported_mean,diagnostic_model_scoring_keys,diagnostic_model_unsupported,diagnostic_model_coverage,diagnostic_component_model_mean,diagnostic_component_market_mean,diagnostic_component_raw_delta,diagnostic_common_scoring_keys,diagnostic_bridge_unsupported,diagnostic_bridge_coverage,diagnostic_scoring_coverage,diagnostic_scoring_unsupported,diagnostic_driver_contributions_ppg,diagnostic_confidence,market_position_rank,fie_position_rank,comparison_eligible,rank_edge,fie_production_mean,diagnostic_center_offset,diagnostic_market_anchor_mean,diagnostic_model_anchor_mean,fie_diagnostic_mean,diagnostic_delta_points,diagnostic_delta_pct,diagnostic_position_rank,diagnostic_rank_delta,diagnostic_comparison_eligible,diagnostic_p10,diagnostic_p25,diagnostic_p50,diagnostic_p75,diagnostic_p90,m91_research_build,m91_status,m91_projection,m91_raw_fie_projection,m91_delta_vs_sleeper,m91_delta_pct_vs_sleeper,m91_raw_delta_vs_sleeper,m91_mean_centering_applied,m91_distribution_anchor_applied,m91_calibration_method,m91_calibration_percentile,m91_calibration_reference_kind,m91_calibration_reference_n,m91_exact_scoring_replay,m91_team_transition_status,m91_new_team_current_context_fields,m91_new_team_history_fields,m91_cleared_old_team_context_fields,m91_portable_retained_count,m91_uncertainty_spread_multiplier,m91_uncertainty_status,m91_residual_gate,m91_production_eligible,m91_p10,m91_p25,m91_p50,m91_p75,m91_p90,m91_position_rank,m91_market_position_rank,m91_rank_delta_vs_market,m91b_research_build,m91b_projection,m91b_raw_fie_projection,m91b_exact_scoring_replay,m91b_team_changed,m91b_team_transition_status,m91b_context_current_fields,m91b_context_role_template_fields,m91b_context_team_environment_fields,m91b_context_proxy_fields,m91b_context_cleared_fields,m91b_depth_chart_order,m91b_uncertainty_spread_multiplier,m91b_status,m91b_production_eligible,m91b_delta_vs_sleeper,m91b_delta_pct_vs_sleeper,m91b_calibration_method,m91b_p10,m91b_p25,m91b_p50,m91b_p75,m91b_p90,m91b_position_rank,m91b_market_position_rank,m91b_rank_delta_vs_market,m91c_research_build,m91c_projection,m91c_raw_fie_projection,m91c_exact_scoring_replay,m91c_team_changed,m91c_uncertainty_spread_multiplier,m91c_team_transition_status,m91c_context_current_fields,m91c_context_role_estimator_fields,m91c_context_role_template_fields,m91c_context_m8_environment_fields,m91c_context_other_team_environment_fields,m91c_context_proxy_fields,m91c_context_cleared_fields,m91c_production_eligible,m91c_status,m91c_market_percentile,m91c_current_workload_share,m91c_workload_percentile,m91c_depth_chart_order,m91c_role_score,m91c_role_cohort,m91c_calibration_method,m91c_delta_vs_sleeper,m91c_delta_pct_vs_sleeper,m91c_p10,m91c_p25,m91c_p50,m91c_p75,m91c_p90,m91c_position_rank,m91c_market_position_rank,m91c_rank_delta_vs_market,m91c_local_expected_raw_fie,m91c_raw_fie_residual,m91c_signal_z,m91c_signal_percentile,m91c_signal_extremity,m91c_raw_market_scale_adjustment,m91c_density_reliability,m91c_proximity_reliability,m91c_transition_reliability,m91c_total_reliability,m91c_correction_cap,m91c_applied_adjustment,m91c_reference_n,m91c_reference_market_span,m91c_reference_median_distance,m91c_fit_method,m91c_reference_role_cohort
10210,00-0038564,Cameron Latu,canonical_id,TE,PHI,PHI,False,,adp_std,2.0,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.3,rec_2pt|rec_td|rush_2pt|rush_att|rush_fd|rush_td|rush_yd,pts_std,2.0,0.1176470588235294,-13.963979127693136,-7.153690632667306,1.1386640999670234,9.731893421744694,18.65042995710934,64,MARKET_FALLBACK,0.7,rec_fd|rush_att|rush_fd,{},,,{},validated_candidate,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,16.521353803199077,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,16.521353803199077,,14.411769519952143,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,0.7,rec_fd|rush_att|rush_fd,"{""prev__receiving_yards"":-1.5897140055161953,""target_share_prior4"":-0.9128096800696788,""prev_fantasy_ppg"":-0.7361458938829852,""receiving_competitor_count"":0.3693423027940348,""offense_snap_share_prior4"":-0.32169071431116547,""prev__receptions"":0.2521611855545594,""opportunity_change_score_prior1"":0.1999983722290424,""receiving_competition_index_prior4"":0.13310591088524867}",92,,113.0,False,,,-0.1095842832469315,68.22848101265822,68.33806529590515,16.411769519952145,14.411769519952143,720.5884759976072,101.0,,True,0.4477903922590087,7.258078887284839,15.550433619919168,24.14366294169684,33.06219947706148,M9.1-TRANSITION-AWARE-CHALLENGER,BASELINE_ONLY_PARTIAL_SCORING,2.0,,0.0,0.0,,False,False,BASELINE_ONLY,,,0,False,STABLE_TEAM,,,,0,1.0,STANDARD_M9_POSITION_CALIBRATION,BLOCKED_MISSING_HISTORICAL_SLEEPER_BASELINE,False,-13.963979127693136,-7.153690632667306,1.1386640999670234,9.731893421744694,18.65042995710934,113.0,113.0,0.0,M9.1b-LOCAL-RESIDUAL-TRANSITION-CONTEXT,2.0,,False,False,STABLE_TEAM,,,,,,,1.0,BASELINE_ONLY_DATA_OR_SCORING_GAP,False,0.0,0.0,BASELINE_ONLY,-13.963979127693136,-7.153690632667306,1.1386640999670234,9.731893421744694,18.65042995710934,113.0,113.0,0.0,M9.1c-ROLE-COHORT-DENSITY-RELIABILITY,2.0,,False,False,1.0,STABLE_TEAM,,,,,,,,False,BASELINE_ONLY,0.073170731707317,0.0057306590257879,0.0555555555555555,3.0,0.0643631436314363,DEPTH,BASELINE_ONLY,0.0,0.0,-13.963979127693136,-7.153690632667306,1.1386640999670234,9.731893421744694,18.65042995710934,113.0,113.0,0.0,,,,,,,,,,,,0.0,,,,,
10211,,Camerun Peoples,unmatched,RB,,,False,,adp_std,,SLEEPER_MARKET_UNAVAILABLE,0.0,rec|rec_2pt|rec_fd|rec_td|rec_yd|rush_2pt|rush_att|rush_fd|rush_td|rush_yd,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,UNAVAILABLE_PROFILE,False,,,,,,0.0,,,,,,0.0,0.0,no_model_or_profile,{},20,,,False,,,5.832965034636558,89.22747252747253,83.39450749283597,,,,,,False,,,,,,M9.1-TRANSITION-AWARE-CHALLENGER,BASELINE_ONLY,,,,,,False,False,BASELINE_ONLY,,,0,False,NO_PROFILE,,,,0,1.0,STANDARD_M9_POSITION_CALIBRATION,BLOCKED_MISSING_HISTORICAL_SLEEPER_BASELINE,False,,,,,,,,,M9.1b-LOCAL-RESIDUAL-TRANSITION-CONTEXT,,,False,False,NO_PROFILE,,,,,,,1.0,BASELINE_ONLY,False,,,BASELINE_ONLY,,,,,,,,,M9.1c-ROLE-COHORT-DENSITY-RELIABILITY,,,False,False,1.0,NO_PROFILE,,,,,,,,False,BASELINE_ONLY,,,,,,UNRANKED,BASELINE_ONLY,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
10212,00-0038589,Josh Whyle,canonical_id,TE,GB,GB,False,,adp_std,6.8,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.3,rec_2pt|rec_td|rush_2pt|rush_att|rush_fd|rush_td|rush_yd,pts_std,6.8,0.3999999999999999,-9.209906643555213,-2.736142790514272,5.73255318038408,14.954370338348037,24.33020982262568,63,MARKET_FALLBACK,0.7,rec_fd|rush_att|rush_fd,{},,,{},validated_candidate,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,37.18912815465081,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,37.18912815465081,,30.27954387140388,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,0.7,rec_fd|rush_att|rush_fd,"{""prev__receiving_yards"":-1.1414947843173733,""target_share_prior4"":-0.5204940316877532,""receiving_competitor_count"":0.4847751080000272,""prev_fantasy_ppg"":-0.4755093892940228,""prev__receptions"":0.1489779994226992,""pfr_receiving_drop_pct_prior4"":0.07950039114347489,""opportunity_xfp_realized_prior4"":-0.06533308398993572,""prev__rushing_yards"":-0.0622846177497434}",91,,88.0,False,,,-0.1095842832469315,68.22848101265822,68.33806529590515,37.07954387140388,30.27954387140388,445.28740987358645,68.0,,True,21.069637227848663,27.543401080889605,36.01209705178796,45.23391420975192,54.60975369402955,M9.1-TRANSITION-AWARE-CHALLENGER,BASELINE_ONLY_PARTIAL_SCORING,6.8,,0.0,0.0,,False,False,BASELINE_ONLY,,,0,False,STABLE_TEAM,,,,0,1.0,STANDARD_M9_POSITION_CALIBRATION,BLOCKED_MISSING_HISTORICAL_SLEEPER_BASELINE,False,-9.209906643555213,-2.736142790514273,5.73255318038408,14.954370338348037,24.33020982262568,88.0,88.0,0.0,M9.1b-LOCAL-RESIDUAL-TRANSITION-CONTEXT,6.8,,False,False,STABLE_TEAM,,,,,,,1.0,BASELINE_ONLY_DATA_OR_SCORING_GAP,False,0.0,0.0,BASELINE_ONLY,-9.209906643555213,-2.736142790514273,5.73255318038408,14.954370338348037,24.33020982262568,88.0,88.0,0.0,M9.1c-ROLE-COHORT-DENSITY-RELIABILITY,6.8,,False,False,1.0,STABLE_TEAM,,,,,,,,False,BASELINE_ONLY,0.2926829268292683,0.019774011299435,0.25,4.0,0.24,DEPTH,BASELINE_ONLY,0.0,0.0,-9.209906643555213,-2.736142790514273,5.73255318038408,14.954370338348037,24.33020982262568,88.0,88.0,0.0,,,,,,,,,,,,0.0,,,,,
10213,00-0038563,Tre Tucker,canonical_id,WR,LV,LV,False,187.5,adp_std,140.25,SLEEPER_RAW_LEAGUE_REPLAY,0.7,rec_2pt|rush_2pt|rush_td,pts_std,140.25,8.25,108.20455763555566,123.3730417215601,139.3438077852114,156.89900791301798,172.27858780877517,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,121.75027597198267,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,121.75027597198267,,-12.078168499723148,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,0.7,rec_fd|rush_att|rush_fd,"{""prev__receiving_yards"":0.6049530165692181,""prev_fantasy_ppg"":0.33173139925671136,""target_share_prior4"":0.30297767603561676,""prev__rushing_yards"":0.17464784505434547,""prev__receptions"":-0.13942043737627513,""offense_snap_share_prior4"":-0.08666223087536987,""pfr_receiving_drop_pct_prior4"":-0.08049884176946952,""prev__receiving_tds"":0.043538088408359495}",74,77.0,59.0,False,,,6.421555528294178,101.44166666666668,95.0201111383725,128.17183150027685,-12.078168499723148,-8.61188484828745,58.0,19.0,True,96.12638913583253,111.29487322183697,127.26563928548823,144.82083941329483,160.20041930905202,M9.1-TRANSITION-AWARE-CHALLENGER,BASELINE_ONLY_PARTIAL_SCORING,140.25,,0.0,0.0,,False,False,BASELINE_ONLY,,,0,False,STABLE_TEAM,,,,0,1.0,STANDARD_M9_POSITION_CALIBRATION,BLOCKED_MISSING_HISTORICAL_SLEEPER_BASELINE,False,108.20455763555566,123.3730417215601,139.3438077852114,156.89900791301798,172.27858780877517,59.0,59.0,0.0,M9.1b-LOCAL-RESIDUAL-TRANSITION-CONTEXT,140.25,,False,False,STABLE_TEAM,,,,,,,1.0,BASELINE_ONLY_DATA_OR_SCORING_GAP,False,0.0,0.0,BASELINE_ONLY,108.20455763555566,123.3730417215601,139.3438077852114,156.89900791301798,172.27858780877517,59.0,59.0,0.0,M9.1c-ROLE-COHORT-DENSITY-RELIABILITY,140.25,,False,False,1.0,STABLE_TEAM,,,,,,,,False,BASELINE_ONLY,0.7251184834123223,0.1348973607038123,0.6857923497267759,1.0,0.7054554165695491,STARTER,BASELINE_ONLY,0.0,0.0,108.20455763555566,123.3730417215601,139.3438077852114,156.89900791301798,172.27858780877517,59.0,59.0,0.0,,,,,,,,,,,,0.0,,,,,
10214,00-0039074,Davis Allen,canonical_id,TE,LAR,LA,True,,adp_std,2.9,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.3,rec_2pt|rec_td|rush_2pt|rush_att|rush_fd|rush_td|rush_yd,pts_std,2.9,0.1705882352941176,-12.908331264491183,-6.388912890253515,1.6841421780915198,11.015845684141738,20.187183863717628,55,MARKET_FALLBACK,0.7,rec_fd|rush_att|rush_fd,{},,,{},validated_candidate,UNAVAILABLE_TEAM_CHANGE,False,,,,,,0.0,,,,,,0.0,0.7,rec_fd|rush_att|rush_fd,"{""prev__receiving_yards"":-0.5538295831900284,""opportunity_change_score_prior1"":-0.3976329082596312,""prev_fantasy_ppg"":-0.22454599209186737,""red_zone_target_share_prior4"":-0.15629274718444794,""target_share_prior4"":-0.15298749383831958,""pfr_receiving_drop_pct_prior4"":-0.09476616273812458,""offense_snap_share_prior4"":0.07839845571068886,""receiving_competition_index_prior4"":0.07699808664294572}",40,,104.0,False,,,-0.1095842832469315,68.22848101265822,68.33806529590515,2.9,0.0,0.0,115.0,,False,-12.908331264491183,-6.388912890253515,1.6841421780915198,11.015845684141738,20.187183863717628,M9.1-TRANSITION-AWARE-CHALLENGER,BASELINE_ONLY_PARTIAL_SCORING,2.9,,0.0,0.0,,False,False,BASELINE_ONLY,,,0,False,NEW_TEAM_CONTEXT_REBUILT,receiving_competitor_count,,red_zone_target_share_prior4|target_share_prior4|offense_snap_share_prior4|receiving_competition_index_prior4|opportunity_change_score_prior1,13,1.0,EMPIRICAL_TRANSITION_VOLATILITY,BLOCKED_MISSING_HISTORICAL_SLEEPER_BASELINE,False,-12.908331264491183,-6.388912890253515,1.6841421780915198,11.015845684141738,20.187183863717628,104.0,104.0,0.0,M9.1b-LOCAL-RESIDUAL-TRANSITION-CONTEXT,2.9,,False,False,STABLE_TEAM,,,,,,,1.0,BASELINE_ONLY_DATA_OR_SCORING_GAP,False,0.0,0.0,BASELINE_ONLY,-12.908331264491183,-6.388912890253515,1.6841421780915198,11.015845684141738,20.187183863717628,104.0,104.0,0.0,M9.1c-ROLE-COHORT-DENSITY-RELIABILITY,2.9,,False,False,1.0,STABLE_TEAM,,,,,,,,False,BASELINE_ONLY,0.1626016260162601,0.0083798882681564,0.1111111111111111,4.0,0.1368563685636856,DEPTH,BASELINE_ONLY,0.0,0.0,-12.908331264491183,-6.388912890253515,1.6841421780915198,11.015845684141738,20.187183863717628,104.0,104.0,0.0,,,,,,,,,,,,0.0,,,,,
10215,00-0038998,Jake Haener,unmatched,QB,,,False,,adp_std,,SLEEPER_MARKET_UNAVAILABLE,0.0,pass_2pt|pass_att|pass_cmp|pass_fd|pass_int|pass_td|pass_yd|rush_2pt|rush_att|rush_fd|rush_td|rush_yd,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,UNAVAILABLE_PROFILE,False,,,,,,0.0,,,,,,0.0,0.0,no_model_or_profile,{},20,,,False,,,17.930127852387102,312.59431372549017,294.66418587310307,,,,,,False,,,,,,M9.1-TRANSITION-AWARE-CHALLENGER,BASELINE_ONLY,,,,,,False,False,BASELINE_ONLY,,,0,False,NO_PROFILE,,,,0,1.0,STANDARD_M9_POSITION_CALIBRATION,BLOCKED_MISSING_HISTORICAL_SLEEPER_BASELINE,False,,,,,,,,,M9.1b-LOCAL-RESIDUAL-TRANSITION-CONTEXT,,,False,False,NO_PROFILE,,,,,,,1.0,BASELINE_ONLY,False,,,BASELINE_ONLY,,,,,,,,,M9.1c-ROLE-COHORT-DENSITY-RELIABILITY,,,False,False,1.0,NO_PROFILE,,,,,,,,False,BASELINE_ONLY,,,,,,UNRANKED,BASELINE_ONLY,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
10216,00-0038636,Kenny McIntosh,unmatched,RB,,,False,,adp_std,3.2,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.6,rec_2pt|rec_td|rush_2pt|rush_td,pts_std,3.2,0.188235294117647,-19.451861598635148,-9.95698759508035,1.8001004531748706,14.654295676003898,27.955138263274847,62,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,UNAVAILABLE_PROFILE,False,,,,,,0.0,,,,,,0.0,0.0,no_model_or_profile,{},20,,122.0,False,,,5.832965034636558,89.22747252747253,83.39450749283597,3.2,0.0,0.0,130.0,,False,-19.451861598635148,-9.95698759508035,1.8001004531748706,14.654295676003898,27.955138263274847,M9.1-TRANSITION-AWARE-CHALLENGER,BASELINE_ONLY,3.2,,0.0,0.0,,False,False,BASELINE_ONLY,,,0,False,NO_PROFILE,,,,0,1.0,STANDARD_M9_POSITION_CALIBRATION,BLOCKED_MISSING_HISTORICAL_SLEEPER_BASELINE,False,-19.451861598635148,-9.95698759508035,1.8001004531748706,14.654295676003898,27.955138263274847,122.0,122.0,0.0,M9.1b-LOCAL-RESIDUAL-TRANSITION-CONTEXT,3.2,,False,False,NO_PROFILE,,,,,,,1.0,BASELINE_ONLY,False,0.0,0.0,BASELINE_ONLY,-19.451861598635148,-9.95698759508035,1.8001004531748706,14.654295676003898,27.955138263274847,122.0,122.0,0.0,M9.1c-ROLE-COHORT-DENSITY-RELIABILITY,3.2,,False,False,1.0,NO_PROFILE,,,,,,,,False,BASELINE_ONLY,0.1037037037037037,,,,0.1037037037037037,DEPTH,BASELINE_ONLY,0.0,0.0,-19.451861598635148,-9.95698759508035,1.8001004531748706,14.654295676003898,27.955138263274847,122.0,122.0,0.0,,,,,,,,,,,,0.0,,,,,
10217,00-0038582,Clayton Tune,canonical_id,QB,,GB,False,,adp_std,12.4,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.75,pass_2pt|rush_2pt|rush_td,pts_std,12.4,0.7294117647058824,-55.52424048784752,-26.333360599151348,8.123093300190078,45.9312738879249,85.45801760316482,62,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,14.839576977970104,pass_2pt|pass_att|pass_cmp|pass_int|pass_td|pass_yd|rush_2pt|rush_att|rush_td|rush_yd,pass_fd|rush_fd,0.8333333333333334,14.839576977970104,,20.36970483035723,pass_2pt|pass_att|pass_cmp|pass_int|pass_td|pass_yd|rush_2pt|rush_att|rush_td|rush_yd,pass_fd|rush_fd,0.8333333333333334,0.8333333333333334,pass_fd|rush_fd,"{""prev_fantasy_ppg"":-12.945846581077403,""prev__attempts"":2.762927340465504,""prev__passing_yards"":-2.4942091831176176,""prev__completions"":-1.353199380995343,""prev__passing_tds"":-0.8966101060072434,""snap_share_prior4"":-0.7141847816524459,""qb_rush_share_prior4"":-0.6962149545251447,""qb_pass_attempt_share_prior4"":-0.30338748001936255}",70,,62.0,False,,,17.930127852387102,312.59431372549017,294.66418587310307,32.76970483035723,20.36970483035723,164.27181314804216,62.0,,True,-35.15453565749029,-5.963655768794119,28.492798130547307,66.30097871828212,105.82772243352204,M9.1-TRANSITION-AWARE-CHALLENGER,BASELINE_ONLY_PARTIAL_SCORING,12.4,,0.0,0.0,,False,False,BASELINE_ONLY,,,0,False,NEW_TEAM_CONTEXT_REBUILT,,,snap_share_prior4|pfr_times_pressured_pct_prior4|inside_5_carry_share_prior4|team_plays_prior4_team|pfr_times_sacked_prior4|qb_rush_share_prior4|team_pass_attempts_prior4_team|opportunity_change_score_prior1|qb_pass_attempt_share_prior4,16,1.338743797336118,EMPIRICAL_TRANSITION_VOLATILITY,BLOCKED_MISSING_HISTORICAL_SLEEPER_BASELINE,False,-78.53315564187268,-39.45404625209705,6.674317683844181,57.289784934238,110.20596791190982,62.0,62.0,0.0,M9.1b-LOCAL-RESIDUAL-TRANSITION-CONTEXT,12.4,,False,False,STABLE_TEAM,,,,,,,1.0,BASELINE_ONLY_DATA_OR_SCORING_GAP,False,0.0,0.0,BASELINE_ONLY,-55.52424048784753,-26.333360599151348,8.123093300190078,45.9312738879249,85.45801760316482,62.0,62.0,0.0,M9.1c-ROLE-COHORT-DENSITY-RELIABILITY,12.4,,False,False,1.0,STABLE_TEAM,,,,,,,,False,BASELINE_ONLY,0.1883116883116883,,,,0.1883116883116883,DEPTH,BASELINE_ONLY,0.0,0.0,-55.52424048784753,-26.333360599151348,8.123093300190078,45.9312738879249,85.45801760316482,62.0,62.0,0.0,,,,,,,,,,,,0.0,,,,,
10218,00-0038618,Xavier Hutchinson,canonical_id,WR,HOU,HOU,False,,adp_std,38.75,SLEEPER_RAW_LEAGUE_REPLAY,0.4,rec_2pt|rush_2pt|rush_att|rush_fd|rush_td|rush_yd,pts_std,38.75,2.2794117647058822,13.560520360471912,24.493459401485666,37.35746025016103,51.34058882783325,65.54897051051141,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,78.72949107622303,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,78.72949107622303,,46.401046604517205,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,0.7,rec_fd|rush_att|rush_fd,"{""prev__receiving_yards"":-0.6647051228184545,""prev_fantasy_ppg"":-0.3778925247588634,""target_share_prior4"":-0.3568453592232664,""opportunity_xfp_realized_prior4"":-0.14018047537131634,""prev__receptions"":0.1092991836766148,""opportunity_change_score_prior1"":0.0914837423075948,""pfr_receiving_drop_pct_prior4"":-0.08049884176946952,""prev__rushing_yards"":0.028657451561186577}",74,,127.0,False,,,6.421555528294178,101.44166666666668,95.0201111383725,85.1510466045172,46.401046604517205,119.74463639875408,93.0,,True,59.96156696498912,70.89450600600287,83.75850685467823,97.74163543235044,111.9500171150286,M9.1-TRANSITION-AWARE-CHALLENGER,BASELINE_ONLY_PARTIAL_SCORING,38.75,,0.0,0.0,,False,False,BASELINE_ONLY,,,0,False,STABLE_TEAM,,,,0,1.0,STANDARD_M9_POSITION_CALIBRATION,BLOCKED_MISSING_HISTORICAL_SLEEPER_BASELINE,False,13.560520360471912,24.493459401485666,37.35746025016103,51.34058882783325,65.54897051051141,127.0,127.0,0.0,M9.1b-LOCAL-RESIDUAL-TRANSITION-CONTEXT,38.75,,False,False,STABLE_TEAM,,,,,,,1.0,BASELINE_ONLY_DATA_OR_SCORING_GAP,False,0.0,0.0,BASELINE_ONLY,13.560520360471912,24.493459401485666,37.35746025016103,51.34058882783325,65.54897051051141,127.0,127.0,0.0,M9.1c-ROLE-COHORT-DENSITY-RELIABILITY,38.75,,False,False,1.0,STABLE_TEAM,,,,,,,,False,BASELINE_ONLY,0.4028436018957346,0.0419161676646706,0.3497267759562841,4.0,0.24,DEPTH,BASELINE_ONLY,0.0,0.0,13.560520360471912,24.493459401485666,37.35746025016103,51.34058882783325,65.54897051051141,127.0,127.0,0.0,,,,,,,,,,,,0.0,,,,,
10219,00-0038611,Chris Rodriguez Jr.,canonical_id,RB,JAX,WAS,True,142.5,adp_std,117.5,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.7,rec_2pt|rec_td|rush_2pt,pts_std,117.5,6.911764705882353,86.11001711804985,100.79136709131608,116.61522164122609,133.1357677076247,149.6216286412955,55,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,UNAVAILABLE_TEAM_CHANGE,False,,,,,,0.0,,,,,,0.0,0.8,rec_fd|rush_fd,"{""prev__receiving_yards"":-0.7377289663952022,""opportunity_change_score_prior1"":-0.5428225976037534,""prev__rushing_yards"":0.4365078914636,""carry_share_prior4"":0.43089236702151795,""opportunity_xfp_realized_prior4"":0.3136395557911611,""prev__receptions"":0.2940292636996243,""prev__carries"":-0.25215820120076393,""prev_fantasy_ppg"":0.18409692433927655}",40,55.0,42.0,False,,,5.832965034636558,89.22747252747253,83.39450749283597,117.5,0.0,0.0,40.0,15.0,False,86.11001711804985,100.79136709131608,116.61522164122609,133.1357677076247,149.6216286412955,M9.1-TRANSITION-AWARE-CHALLENGER,BASELINE_ONLY_PARTIAL_SCORING,117.5,,0.0,0.0,,False,False,BASELINE_ONLY,,,0,False,NEW_TEAM_CONTEXT_REBUILT,backfield_competition_index_prior4|carry_share_prior4|backfield_competitor_count,,target_share_prior4|inside_5_carry_share_prior4|red_zone_carry_share_prior4|offense_snap_share_prior4|opportunity_change_score_prior1,13,1.1315090403236303,EMPIRICAL_TRANSITION_VOLATILITY,BLOCKED_MISSING_HISTORICAL_SLEEPER_BASELINE,False,81.9819505934694,98.59403081237524,116.4988652883646,135.19201251357762,153.84591319754432,42.0,42.0,0.0,M9.1b-LOCAL-RESIDUAL-TRANSITION-CONTEXT,117.5,,False,True,NEW_TEAM_CONTEXT_REBUILT_V2,backfield_competition_index_prior4|backfield_competitor_count|carry_share_prior4|opportunity_change_score_prior1|target_share_prior4,inside_5_carry_share_prior4|offense_snap_share_prior4|red_zone_carry_share_prior4,,opportunity_change_score_prior1|target_share_prior4,opportunity_change_score_prior1,2.0,1.1315090403236303,BASELINE_ONLY_DATA_OR_SCORING_GAP,False,0.0,0.0,BASELINE_ONLY,81.9819505934694,98.59403081237524,116.4988652883646,135.19201251357762,153.84591319754432,42.0,42.0,0.0,M9.1c-ROLE-COHORT-DENSITY-RELIABILITY,117.5,,False,True,1.1315090403236303,NEW_TEAM_CONTEXT_REBUILT_V3,backfield_competition_index_prior4|backfield_competitor_count|carry_share_prior4|opportunity_change_score_prior1|target_share_prior4,inside_5_carry_share_prior4|red_zone_carry_share_prior4,inside_5_carry_share_prior4|offense_snap_share_prior4|red_zone_carry_share_prior4,,,opportunity_change_score_prior1|target_share_prior4,,False,BASELINE_ONLY_DATA_OR_SCORING_GAP,0.6962962962962963,0.3208255159474671,0.6814159292035398,2.0,0.688856112749918,STARTER,BASELINE_ONLY,0.0,0.0,81.9819505934694,98.59403081237524,116.4988652883646,135.19201251357762,153.84591319754432,42.0,42.0,0.0,,,,,,,,,,,,0.0,,,,,
