position,feature,source_scope,evidence_target,consumer,mean_improvement,fdr_q,evidence_tier,activation_status,auto_activation
QB,qb_pass_attempt_share_prior4,component,pass_volume,qb_pass_volume,0.02225161048507822,0.7647058823529411,tier1_temporal_gate_only,research_only_manual_integration_required,False
QB,snap_share_prior4,component,pass_volume,qb_pass_volume,0.021071686931190263,0.7647058823529411,tier1_temporal_gate_only,research_only_manual_integration_required,False
QB,qb_pass_attempt_share_prior4,component,yards_per_attempt,qb_passing_efficiency,0.01005671793925942,0.7222222222222222,tier1_temporal_gate_only,research_only_manual_integration_required,False
QB,m7_qb_rush_goal_role,component,rush_volume,qb_rush_volume,0.0231419624265399,0.45882352941176474,tier1_temporal_gate_only,research_only_manual_integration_required,False
QB,qb_rush_share_prior4,component,rush_volume,qb_rush_volume,0.07128761067994391,0.45882352941176474,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,backfield_competition_index_prior4,horizon,breakout,breakout_probability,0.024413874773254452,0.23529411764705882,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,backfield_competitor_count,horizon,breakout,breakout_probability,0.011709825274575812,0.23529411764705882,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,carry_share_prior4,horizon,breakout,breakout_probability,0.04680725184847078,0.23529411764705882,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,offense_snap_share_prior4,horizon,breakout,breakout_probability,0.05340542489549959,0.23529411764705882,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,red_zone_carry_share_prior4,horizon,breakout,breakout_probability,0.012670742403568653,0.2777777777777778,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,offense_snap_share_prior4,horizon,ceiling,ceiling_upside_distribution,0.014757886694860379,0.39215686274509803,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,backfield_competition_index_prior4,horizon,floor,floor_risk_distribution,0.015687300384899468,0.23529411764705882,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,backfield_competitor_count,horizon,floor,floor_risk_distribution,0.015187205867439657,0.23529411764705882,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,carry_share_prior4,horizon,floor,floor_risk_distribution,0.0292715644218067,0.23529411764705882,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,offense_snap_share_prior4,horizon,floor,floor_risk_distribution,0.042461420196987086,0.23529411764705882,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,backfield_competition_index_prior4,horizon,next_3_games,next3_projection,0.01864133480096707,0.23529411764705882,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,backfield_competitor_count,horizon,next_3_games,next3_projection,0.011121944382301298,0.23529411764705882,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,carry_share_prior4,horizon,next_3_games,next3_projection,0.03332856316170856,0.23529411764705882,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,offense_snap_share_prior4,horizon,next_3_games,next3_projection,0.034008872748994286,0.23529411764705882,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,backfield_competition_index_prior4,component,carry_volume,rb_carry_volume,0.05864711083351928,0.16806722689075632,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,backfield_competitor_count,component,carry_volume,rb_carry_volume,0.012584866254329932,0.16806722689075632,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,carry_share_prior4,component,carry_volume,rb_carry_volume,0.10763376124036161,0.16806722689075632,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,inside_5_carry_share_prior4,component,carry_volume,rb_carry_volume,0.019787446043045904,0.16806722689075632,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,offense_snap_share_prior4,component,carry_volume,rb_carry_volume,0.07789006476364192,0.16806722689075632,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,red_zone_carry_share_prior4,component,carry_volume,rb_carry_volume,0.03333615387301458,0.16806722689075632,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,target_share_prior4,component,carry_volume,rb_carry_volume,0.02685363553354934,0.16806722689075632,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,backfield_competition_index_prior4,component,target_volume,receiving_target_volume,0.031891855068659984,0.16806722689075632,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,backfield_competitor_count,component,target_volume,receiving_target_volume,0.011930692388024158,0.16806722689075632,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,carry_share_prior4,component,target_volume,receiving_target_volume,0.044140721428836634,0.16806722689075632,tier1_temporal_gate_only,research_only_manual_integration_required,False
RB,offense_snap_share_prior4,component,target_volume,receiving_target_volume,0.07798230002435694,0.16806722689075632,tier1_temporal_gate_only,research_only_manual_integration_required,False
