position,feature,status,priority_score,recommended_action,current_coverage,current_seasons,estimated_total_temporal_folds_needed,note
RB,opportunity_change_score_prior1,insufficient_coverage,67.42,improve_source_coverage,0.2917766880422482,4,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
TE,opportunity_change_score_prior1,insufficient_coverage,64.97,improve_source_coverage,0.2725319326727946,4,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
QB,xfp_residual_prior4,descriptive_not_incremental,63.82,test_predefined_condition_or_accept_redundancy,0.4472160356347439,4,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
QB,opportunity_xfp_realized_prior4,descriptive_not_incremental,63.82,test_predefined_condition_or_accept_redundancy,0.4472160356347439,4,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
WR,red_zone_target_share_prior4,descriptive_not_incremental,63.78,test_predefined_condition_or_accept_redundancy,0.44895901299009433,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
TE,opportunity_xfp_realized_prior4,descriptive_not_incremental,63.31,test_predefined_condition_or_accept_redundancy,0.46758982929449683,4,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
RB,opportunity_xfp_realized_prior4,descriptive_not_incremental,63.19,test_predefined_condition_or_accept_redundancy,0.4722746133534515,4,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
WR,opportunity_xfp_realized_prior4,descriptive_not_incremental,63.14,test_predefined_condition_or_accept_redundancy,0.47422741562370246,4,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
WR,opportunity_change_score_prior1,insufficient_coverage,59.55,improve_source_coverage,0.2915949937718726,4,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
RB,red_zone_carry_share_prior4,horizon_specific,58.98,route_to_best_horizon,0.6408902301018483,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
QB,opportunity_change_score_prior1,insufficient_coverage,57.1,improve_source_coverage,0.2512249443207127,4,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
TE,offense_snap_share_prior4,horizon_specific,55.18,route_to_best_horizon,0.7926465321714218,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
RB,offense_snap_share_prior4,horizon_specific,54.84,route_to_best_horizon,0.8062995096190116,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
WR,offense_snap_share_prior4,horizon_specific,54.76,route_to_best_horizon,0.80947861676256,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
TE,xfp_residual_prior4,descriptive_not_incremental,53.1,test_predefined_condition_or_accept_redundancy,0.46758982929449683,4,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
TE,target_share_prior4,horizon_specific,51.64,route_to_best_horizon,0.9342246627671004,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
TE,receiving_competition_index_prior4,horizon_specific,51.64,route_to_best_horizon,0.9342246627671004,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
RB,carry_share_prior4,horizon_specific,51.6,route_to_best_horizon,0.9358732553753301,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
RB,target_share_prior4,horizon_specific,51.6,route_to_best_horizon,0.9358732553753301,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
RB,target_share_prior4,horizon_specific,51.6,route_to_best_horizon,0.9358732553753301,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
RB,backfield_competition_index_prior4,horizon_specific,51.6,route_to_best_horizon,0.9358732553753301,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
WR,target_share_prior4,horizon_specific,51.57,route_to_best_horizon,0.9371848864108191,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
TE,pfr_receiving_drop_pct_prior4,descriptive_not_incremental,50.89,test_predefined_condition_or_accept_redundancy,0.7380923958457681,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
RB,backfield_competitor_count,horizon_specific,50.0,route_to_best_horizon,1.0,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
WR,receiving_competitor_count,descriptive_not_incremental,50.0,test_predefined_condition_or_accept_redundancy,1.0,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
TE,receiving_competitor_count,descriptive_not_incremental,50.0,test_predefined_condition_or_accept_redundancy,1.0,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
QB,pfr_passing_bad_throw_pct_prior4,descriptive_not_incremental,45.54,test_predefined_condition_or_accept_redundancy,0.7443207126948775,7,,"Fold estimate is a planning heuristic from observed fold variance, not a guarantee of significance."
