position,family,feature,scope,test_season,n_test,base_mae,adjusted_mae,improvement
QB,opportunity,qb_pass_attempt_share_prior4,weekly,2025,636,6.618410829124368,6.575225682666411,0.0065250023869658485
QB,opportunity,qb_pass_attempt_share_prior4,next_season,2023,61,,,0.055505941970062984
QB,opportunity,qb_pass_attempt_share_prior4,next_season,2024,63,,,0.06291870807085205
QB,opportunity,qb_pass_attempt_share_prior4,next_season,2025,60,,,0.06424675528890765
QB,opportunity,qb_rush_share_prior4,weekly,2025,636,6.618410829124368,6.613865702693101,0.0006867398456539768
QB,opportunity,qb_rush_share_prior4,next_season,2023,61,,,0.02847920052673873
QB,opportunity,qb_rush_share_prior4,next_season,2024,63,,,0.0844802575048876
QB,opportunity,qb_rush_share_prior4,next_season,2025,60,,,0.064318143298523
QB,opportunity,inside_5_carry_share_prior4,weekly,2025,233,6.862577633738607,6.872308342786977,-0.001417937918914074
QB,opportunity,inside_5_carry_share_prior4,next_season,2024,28,,,0.10767316612783387
QB,opportunity,inside_5_carry_share_prior4,next_season,2025,19,,,0.1552470457554539
QB,opportunity,snap_share_prior4,weekly,2025,636,6.618410829124368,6.5826755519565125,0.005399374274350312
QB,opportunity,snap_share_prior4,next_season,2023,61,,,0.05850442097122129
QB,opportunity,snap_share_prior4,next_season,2024,63,,,0.06688074735118958
QB,opportunity,snap_share_prior4,next_season,2025,60,,,0.06280266054023344
QB,opportunity,team_pass_attempts_prior4_team,weekly,2025,664,6.850096080686851,6.809833509834044,0.005877665127402121
QB,opportunity,team_pass_attempts_prior4_team,next_season,2023,63,,,0.030475570948206007
QB,opportunity,team_pass_attempts_prior4_team,next_season,2024,63,,,0.053523354822871565
QB,opportunity,team_pass_attempts_prior4_team,next_season,2025,63,,,0.06978905917068667
QB,opportunity,team_plays_prior4_team,weekly,2025,664,6.850096080686851,6.8078980957524715,0.006160203366103453
QB,opportunity,team_plays_prior4_team,next_season,2023,63,,,0.03647954027316189
QB,opportunity,team_plays_prior4_team,next_season,2024,63,,,0.04144713860964652
