sleeper_id,canonical_player_id,full_name,identity_join_method,position_model,team,profile_team,team_changed,market_adp,market_adp_key,sleeper_market_projection,fie_season_mean,fie_ppg,p10,p25,p50,p75,p90,confidence,projection_source,scoring_coverage,scoring_unsupported,raw_projected_stats_per_game,active_return_scoring,validated_return_targets,driver_contributions_ppg,diagnostic_position_gate,diagnostic_status,diagnostic_eligible,diagnostic_raw_mean,diagnostic_raw_ppg,diagnostic_scoring_coverage,diagnostic_scoring_unsupported,diagnostic_driver_contributions_ppg,diagnostic_confidence,market_position_rank,fie_position_rank,comparison_eligible,rank_edge,fie_production_mean,diagnostic_center_offset,fie_diagnostic_mean,diagnostic_delta_points,diagnostic_delta_pct,diagnostic_position_rank,diagnostic_rank_delta,diagnostic_comparison_eligible,diagnostic_p10,diagnostic_p25,diagnostic_p50,diagnostic_p75,diagnostic_p90,reason,evidence_status
10210,00-0038564,Cameron Latu,sleeper_id_to_canonical,TE,PHI,PHI,False,673.1,adp_ppr,4.0,23.329050217112773,1.372297071594869,5.921533922445619,13.288235599457735,22.397783208455508,31.90358833212167,41.890324473133184,92,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":0.5976973473622595,""receptions"":0.44995278994639154,""receiving_yards"":3.9142634297944956,""receiving_tds"":0.07769205954527936,""fumbles_lost"":0.004510900247777279,""rushing_yards"":0.27608173383438894,""rushing_tds"":0.004926007987053715,""rushing_2pt_conversions"":0.0014652033695201207,""receiving_2pt_conversions"":0.00684637692405246}",,,"{""target_share_prior4"":-1.2948782094996159,""prev__receiving_yards"":-0.9462246731398795,""prev_fantasy_ppg"":-0.8983102670128401,""receiving_competitor_count"":0.5292819421440674,""prev__receptions"":-0.4920074016273608,""offense_snap_share_prior4"":-0.4875049523466357,""opportunity_xfp_realized_prior4"":-0.31886879124841444,""opportunity_change_score_prior1"":0.2730573260512636}",validated_candidate,VALIDATED_POSITION_SHADOW,True,23.329050217112773,1.372297071594869,1.0,,"{""target_share_prior4"":-1.2948782094996159,""prev__receiving_yards"":-0.9462246731398795,""prev_fantasy_ppg"":-0.8983102670128401,""receiving_competitor_count"":0.5292819421440674,""prev__receptions"":-0.4920074016273608,""offense_snap_share_prior4"":-0.4875049523466357,""opportunity_xfp_realized_prior4"":-0.31886879124841444,""opportunity_change_score_prior1"":0.2730573260512636}",92,248.0,120.0,True,128.0,23.329050217112773,17.963388480087303,5.365661737025469,1.3656617370254691,34.14154342563673,141.0,107.0,True,-12.041854557641685,-4.675152880629568,4.434394728368204,13.940199852034368,23.92693599304588,"FIE diagnostic is higher; main model signals: recent target share, prior receiving-yard production, prior-season fantasy production.",Validated preseason model
10211,,Camerun,unmatched,RB,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,UNAVAILABLE_PROFILE,False,,,0.0,no_model_or_profile,{},20,,,False,,,27.24288485319462,,,,,,False,,,,,,No diagnostic deviation: no usable prior-season FIE profile.,Diagnostic model
10212,00-0038589,Josh Whyle,sleeper_id_to_canonical,TE,GB,GB,False,695.5,adp_ppr,6.2,55.37330907917804,3.257253475245767,35.958878844841315,44.29157252794655,54.22815309817351,65.60273585316676,76.4810191370175,91,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":1.5985952961755083,""receptions"":1.210463822405439,""receiving_yards"":10.438964750766901,""receiving_tds"":0.15654596389409053,""fumbles_lost"":0.011212418099518106,""rushing_yards"":0.3814126596624473,""rushing_tds"":0.0037640266613655905,""rushing_2pt_conversions"":0.001417687154920504,""receiving_2pt_conversions"":0.011240715176926075}",,,"{""target_share_prior4"":-0.7383536727564357,""receiving_competitor_count"":0.6947016594750557,""prev__receiving_yards"":-0.6794370090680943,""prev_fantasy_ppg"":-0.47757786036609173,""prev__receptions"":-0.29068025768678557,""opportunity_xfp_realized_prior4"":-0.20165875028205527,""pfr_receiving_drop_pct_prior4"":0.09330964386435972,""prev__rushing_yards"":-0.03164092926730868}",validated_candidate,VALIDATED_POSITION_SHADOW,True,55.37330907917804,3.257253475245767,1.0,,"{""target_share_prior4"":-0.7383536727564357,""receiving_competitor_count"":0.6947016594750557,""prev__receiving_yards"":-0.6794370090680943,""prev_fantasy_ppg"":-0.47757786036609173,""prev__receptions"":-0.29068025768678557,""opportunity_xfp_realized_prior4"":-0.20165875028205527,""pfr_receiving_drop_pct_prior4"":0.09330964386435972,""prev__rushing_yards"":-0.03164092926730868}",91,290.0,65.0,True,225.0,55.37330907917804,17.963388480087303,37.40992059909074,31.20992059909074,503.3858161143668,79.0,211.0,True,17.995490364754012,26.32818404785925,36.26476461808621,47.63934737307946,58.517630656930194,"FIE diagnostic is higher; main model signals: recent target share, number of receiving competitors, prior receiving-yard production.",Validated preseason model
10213,00-0038563,Tre Tucker,sleeper_id_to_canonical,WR,LV,LV,False,202.5,adp_ppr,125.9,142.49340119964336,8.381964776449609,113.3239338173928,126.5657008756924,141.3207874714953,157.8038951499838,172.5781957029136,94,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":4.901011546821843,""receptions"":3.0071706851747684,""receiving_yards"":36.99449560192186,""receiving_tds"":0.255799621598465,""fumbles_lost"":0.02034723485910414,""rushing_yards"":1.374036716314778,""rushing_tds"":0.0011941640342673237,""rushing_2pt_conversions"":0.0001327176296064802,""receiving_2pt_conversions"":0.018203590056889044}",,,"{""prev_fantasy_ppg"":0.7013948445388606,""prev__receiving_yards"":0.32691657105671207,""target_share_prior4"":0.2707737166778056,""offense_snap_share_prior4"":-0.21722661552485906,""prev__receptions"":0.21508152620092205,""prev__rushing_yards"":0.08695466830949093,""pfr_receiving_drop_pct_prior4"":-0.07942253232559894,""xfp_residual_prior4"":0.06655363806094095}",validated_candidate,VALIDATED_POSITION_SHADOW,True,142.49340119964336,8.381964776449609,1.0,,"{""prev_fantasy_ppg"":0.7013948445388606,""prev__receiving_yards"":0.32691657105671207,""target_share_prior4"":0.2707737166778056,""offense_snap_share_prior4"":-0.21722661552485906,""prev__receptions"":0.21508152620092205,""prev__rushing_yards"":0.08695466830949093,""pfr_receiving_drop_pct_prior4"":-0.07942253232559894,""xfp_residual_prior4"":0.06655363806094095}",94,71.0,52.0,True,19.0,142.49340119964336,13.355964374631055,129.1374368250123,3.2374368250122814,2.571435127094743,54.0,17.0,True,99.96796944276174,113.20973650106134,127.96482309686422,144.44793077535272,159.22223132828253,"FIE diagnostic is higher; main model signals: prior-season fantasy production, prior receiving-yard production, recent target share.",Validated preseason model
10214,00-0039074,Davis Allen,sleeper_id_to_canonical,TE,LAR,LA,True,660.7,adp_ppr,5.9,5.9,0.3470588235294118,-9.677991966261828,-3.1805532423572416,4.916767969287939,13.455144784363384,22.341792055985863,55,MARKET_FALLBACK,1.0,,{},,,{},validated_candidate,UNAVAILABLE_TEAM_CHANGE,False,,,1.0,,"{""opportunity_change_score_prior1"":-0.5428873118778094,""prev__receiving_yards"":-0.32964873839619796,""target_share_prior4"":-0.21702242693359147,""prev_fantasy_ppg"":-0.17441998927542116,""red_zone_target_share_prior4"":-0.15455865226826343,""offense_snap_share_prior4"":0.11880863734947618,""pfr_receiving_drop_pct_prior4"":-0.1112270866633608,""prev__receptions"":-0.10545928526145643}",40,228.0,146.0,False,,,17.963388480087303,5.9,0.0,0.0,138.0,90.0,False,-9.677991966261828,-3.1805532423572416,4.916767969287939,13.455144784363384,22.341792055985863,No diagnostic deviation: team transfer makes prior-team role profile non-portable.,Validated preseason model
10215,00-0038998,Jake Haener,unmatched,QB,NYG,,False,654.7,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,UNAVAILABLE_PROFILE,False,,,0.0,no_model_or_profile,{},20,118.0,,False,,,,,,,,,False,,,,,,No diagnostic deviation: no usable prior-season FIE profile.,Diagnostic model
10216,00-0038636,Kenny McIntosh,unmatched,RB,,,False,684.4,adp_ppr,5.2,5.2,0.3058823529411765,-13.20526442821497,-5.910492094244901,3.719320600600263,14.5617364505082,25.33095686794184,62,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,UNAVAILABLE_PROFILE,False,,,0.0,no_model_or_profile,{},20,316.0,121.0,False,,,27.24288485319462,5.2,0.0,0.0,139.0,177.0,False,-13.20526442821497,-5.910492094244901,3.719320600600263,14.5617364505082,25.33095686794184,No diagnostic deviation: no usable prior-season FIE profile.,Diagnostic model
10217,00-0038582,Clayton Tune,sleeper_id_to_canonical,QB,,GB,False,,adp_ppr,12.4,12.4,0.7294117647058824,-12.02011049472301,-2.0244304396542816,10.70054681079219,24.76562362456127,39.02671657122757,62,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,UNAVAILABLE_SCORING,False,,,0.875,pass_int,"{""prev_fantasy_ppg"":-3.036720423286751,""prev__passing_tds"":-1.5305140803426234,""prev__passing_yards"":-1.4941631939255688,""snap_share_prior4"":-1.4711914789235496,""qb_rush_share_prior4"":-0.5229266573871298,""prev__rushing_tds"":-0.3122857899308252,""qb_pass_attempt_share_prior4"":-0.15436741107553642,""team_pass_attempts_prior4_team"":-0.11836629805720698}",45,,62.0,False,,,,12.4,0.0,0.0,62.0,,False,-12.02011049472301,-2.0244304396542816,10.70054681079219,24.76562362456127,39.02671657122757,No diagnostic deviation: exact league-scoring replay is incomplete.,Diagnostic model
10218,00-0038618,Xavier Hutchinson,sleeper_id_to_canonical,WR,HOU,HOU,False,,adp_ppr,36.7,94.1855724387017,5.540327790511864,67.37900939875134,79.63558115535534,93.2656937292345,108.12118824736211,121.92503497675315,94,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":3.218247059154902,""receptions"":2.010351155517592,""receiving_yards"":24.49312281889581,""receiving_tds"":0.1612571726226567,""fumbles_lost"":0.012587263221742948,""rushing_yards"":0.9205356396881402,""rushing_tds"":0.00420949087264072,""rushing_2pt_conversions"":0.00016339209410549016,""receiving_2pt_conversions"":0.01032927520968424}",,,"{""prev_fantasy_ppg"":-0.5204158547710327,""prev__receiving_yards"":-0.35920660541210186,""target_share_prior4"":-0.3189157216479269,""prev__receptions"":-0.16861398285701837,""pfr_receiving_drop_pct_prior4"":-0.07942253232559894,""opportunity_xfp_realized_prior4"":-0.07759694443442744,""offense_snap_share_prior4"":0.06789060646148853,""opportunity_change_score_prior1"":0.05895555860372112}",validated_candidate,VALIDATED_POSITION_SHADOW,True,94.1855724387017,5.540327790511864,1.0,,"{""prev_fantasy_ppg"":-0.5204158547710327,""prev__receiving_yards"":-0.35920660541210186,""target_share_prior4"":-0.3189157216479269,""prev__receptions"":-0.16861398285701837,""pfr_receiving_drop_pct_prior4"":-0.07942253232559894,""opportunity_xfp_realized_prior4"":-0.07759694443442744,""offense_snap_share_prior4"":0.06789060646148853,""opportunity_change_score_prior1"":0.05895555860372112}",94,,94.0,True,,94.1855724387017,13.355964374631055,80.82960806407064,44.12960806407064,120.2441636623178,95.0,,True,54.02304502412028,66.27961678072428,79.90972935460344,94.76522387273108,108.5690706021221,"FIE diagnostic is higher; main model signals: prior-season fantasy production, prior receiving-yard production, recent target share.",Validated preseason model
10219,00-0038611,Chris Rodriguez Jr.,sleeper_id_to_canonical,RB,JAX,WAS,True,142.3,adp_ppr,132.5,132.5,7.794117647058823,103.92360038709444,117.01535171193646,131.84021115387546,147.45023370869913,161.63654986890543,55,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,UNAVAILABLE_TEAM_CHANGE,False,,,1.0,,"{""prev__receptions"":-0.5281423834728366,""carry_share_prior4"":0.4951795523501612,""opportunity_change_score_prior1"":-0.35197483957287423,""prev__receiving_yards"":-0.3434124181366103,""prev__rushing_yards"":0.28661472315251074,""opportunity_xfp_realized_prior4"":0.23484758423393579,""prev__rushing_tds"":0.1678280726141813,""target_share_prior4"":-0.15286536792455915}",40,42.0,40.0,False,,,27.24288485319462,132.5,0.0,0.0,40.0,2.0,False,103.92360038709444,117.01535171193646,131.84021115387546,147.45023370869913,161.63654986890543,No diagnostic deviation: team transfer makes prior-team role profile non-portable.,Diagnostic model
