consumer,position,model,shadow_eligible,reason,stack_policy,features,gate_folds,gate_mean,gate_positive_folds,gate_required_positive_folds,gate_ci95_low,gate_ci95_high,gate_robust,gate_sign_flip_p,feature_n,final_config,evidence_revalidation_match,final_cap
weekly_projection_residual,WR,histgb,False,hardened_evidence_rejected,not_applicable,,,,,,,,,,,,,
weekly_projection_residual,TE,histgb,False,hardened_evidence_rejected,not_applicable,,,,,,,,,,,,,
weekly_projection_residual,QB,histgb,True,revalidated,standalone_candidate_not_additive,qb_pass_attempt_share_prior4|qb_rush_share_prior4|inside_5_carry_share_prior4|snap_share_prior4|team_pass_attempts_prior4_team|team_plays_prior4_team|opportunity_change_score_prior1|pfr_passing_bad_throw_pct_prior4|pfr_times_pressured_pct_prior4|pfr_times_sacked_prior4|m7_qb_rush_goal_role|xfp_residual_prior4|opportunity_xfp_realized_prior4,4.0,0.014019243864182572,3.0,3.0,0.0005518647476741547,0.024931870454404207,True,0.17647058823529413,13.0,"[0.04, 7, 1.0]",True,
weekly_projection_residual,RB,histgb,True,revalidated,standalone_candidate_not_additive,offense_snap_share_prior4|carry_share_prior4|target_share_prior4|red_zone_carry_share_prior4|inside_5_carry_share_prior4|opportunity_change_score_prior1|backfield_competition_index_prior4|backfield_competitor_count|xfp_residual_prior4|opportunity_xfp_realized_prior4,4.0,0.02373522737601677,4.0,3.0,0.01776898260963914,0.029571313450025553,True,0.11764705882352941,10.0,"[0.04, 7, 1.0]",True,
weekly_projection_residual,RB,ridge_backfield_competitor_count,True,revalidated,alternate_to_rb_histgb_never_summed_without_new_stack_validation,backfield_competitor_count,4.0,0.014349599569566973,4.0,3.0,0.012076048128560413,0.01680986680823137,True,0.11764705882352941,1.0,,,1.0
pass_volume,QB,ridge_component_all_features,True,revalidated,,qb_pass_attempt_share_prior4|qb_rush_share_prior4|inside_5_carry_share_prior4|snap_share_prior4|team_pass_attempts_prior4_team|team_plays_prior4_team|opportunity_change_score_prior1|pfr_passing_bad_throw_pct_prior4|pfr_times_pressured_pct_prior4|pfr_times_sacked_prior4|m7_qb_rush_goal_role|xfp_residual_prior4|opportunity_xfp_realized_prior4,4.0,0.028025865420834815,4.0,3.0,0.020134104225721903,0.0347649620395809,True,0.11764705882352941,13.0,,,
rush_volume,QB,ridge_component_all_features,True,revalidated,,qb_pass_attempt_share_prior4|qb_rush_share_prior4|inside_5_carry_share_prior4|snap_share_prior4|team_pass_attempts_prior4_team|team_plays_prior4_team|opportunity_change_score_prior1|pfr_passing_bad_throw_pct_prior4|pfr_times_pressured_pct_prior4|pfr_times_sacked_prior4|m7_qb_rush_goal_role|xfp_residual_prior4|opportunity_xfp_realized_prior4,4.0,0.07089090642197975,4.0,3.0,0.05949612759838703,0.08265812942973584,True,0.11764705882352941,13.0,,,
carry_volume,RB,ridge_component_all_features,True,revalidated,,offense_snap_share_prior4|carry_share_prior4|target_share_prior4|red_zone_carry_share_prior4|inside_5_carry_share_prior4|opportunity_change_score_prior1|backfield_competition_index_prior4|backfield_competitor_count|xfp_residual_prior4|opportunity_xfp_realized_prior4,4.0,0.10900264181236012,4.0,3.0,0.09637200770855545,0.1268982403453208,True,0.11764705882352941,10.0,,,
target_volume,RB,ridge_component_all_features,True,revalidated,,offense_snap_share_prior4|carry_share_prior4|target_share_prior4|red_zone_carry_share_prior4|inside_5_carry_share_prior4|opportunity_change_score_prior1|backfield_competition_index_prior4|backfield_competitor_count|xfp_residual_prior4|opportunity_xfp_realized_prior4,4.0,0.09504488881539831,4.0,3.0,0.08776891498059641,0.10192647156620445,True,0.11764705882352941,10.0,,,
target_volume,TE,ridge_component_all_features,True,revalidated,,offense_snap_share_prior4|target_share_prior4|red_zone_target_share_prior4|opportunity_change_score_prior1|pfr_receiving_drop_pct_prior4|receiving_competition_index_prior4|receiving_competitor_count|xfp_residual_prior4|opportunity_xfp_realized_prior4,4.0,0.10591037390757727,4.0,3.0,0.09492058807281581,0.11559031382133782,True,0.11764705882352941,9.0,,,
