player_id,player,position,direction,applicable_leagues,signal_leagues,median_rank_edge,min_rank_edge,max_rank_edge,formats,classification
00-0040719,Bhayshul Tuten,RB,negative,22,22,-34.0,-38.0,-30.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,PORTFOLIO_CONSENSUS_FADE
00-0040735,Luther Burden,WR,negative,22,22,-33.5,-38.0,-29.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,PORTFOLIO_CONSENSUS_FADE
00-0039915,Ladd McConkey,WR,negative,22,22,-24.0,-28.0,-21.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,PORTFOLIO_CONSENSUS_FADE
00-0036442,Joe Burrow,QB,negative,22,22,-17.0,-21.0,-13.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,PORTFOLIO_CONSENSUS_FADE
00-0039918,Caleb Williams,QB,negative,22,22,-16.0,-19.0,-13.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,PORTFOLIO_CONSENSUS_FADE
00-0040129,Emeka Egbuka,WR,negative,22,22,-16.0,-23.0,-8.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,PORTFOLIO_CONSENSUS_FADE
00-0038559,Michael Wilson,WR,positive,22,22,16.0,11.0,17.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,PORTFOLIO_CONSENSUS_VALUE
00-0040126,Colston Loveland,TE,negative,22,22,-15.0,-16.0,-13.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,PORTFOLIO_CONSENSUS_FADE
00-0038933,Dalton Kincaid,TE,negative,22,22,-14.0,-17.0,-9.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,PORTFOLIO_CONSENSUS_FADE
00-0036322,Justin Jefferson,WR,negative,22,22,-13.0,-19.0,-12.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,PORTFOLIO_CONSENSUS_FADE
00-0040691,Jaxson Dart,QB,negative,22,22,-12.0,-18.0,-9.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,PORTFOLIO_CONSENSUS_FADE
00-0035685,David Montgomery,RB,positive,22,22,11.0,8.0,14.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,PORTFOLIO_CONSENSUS_VALUE
00-0034796,Lamar Jackson,QB,negative,22,22,-10.0,-11.0,-9.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,PORTFOLIO_CONSENSUS_FADE
00-0036973,Travis Etienne,RB,positive,22,22,9.5,9.0,12.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,PORTFOLIO_CONSENSUS_VALUE
00-0041029,Jordyn Tyson,WR,negative,22,21,-33.0,-47.0,-23.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0039893,Brian Thomas,WR,negative,22,21,-15.0,-20.0,-13.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0040666,Omarion Hampton,RB,negative,22,21,-10.0,-12.0,-8.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0038120,Breece Hall,RB,negative,22,21,-8.0,-10.0,-8.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0036912,DeVonta Smith,WR,negative,22,18,-12.0,-17.0,-9.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0031408,Mike Evans,WR,positive,22,17,17.0,15.0,30.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0036555,Chuba Hubbard,RB,negative,22,16,-20.5,-21.0,-17.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0040124,Tetairoa McMillan,WR,negative,22,16,-14.5,-17.0,-8.0,CHOPPED|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0036613,Jaylen Waddle,WR,positive,22,16,12.5,8.0,15.0,CHOPPED|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0039849,Marvin Harrison,WR,negative,22,14,-16.0,-20.0,-10.0,CHOPPED|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0026498,Matthew Stafford,QB,positive,22,13,9.0,8.0,19.0,CHOPPED|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0038606,Parker Washington,WR,negative,22,13,-9.0,-12.0,-8.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0034348,Courtland Sutton,WR,positive,22,12,18.0,11.0,18.0,CHOPPED|CHOPPED_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0040236,Kyle Monangai,RB,negative,22,12,-18.0,-19.0,-12.0,CHOPPED|DYNASTY|DYNASTY_BESTBALL|REDRAFT,FORMAT_DEPENDENT_VALUE
00-0035659,Terry McLaurin,WR,negative,22,12,-9.0,-14.0,-8.0,CHOPPED|CHOPPED_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0039064,Zay Flowers,WR,positive,22,12,8.0,8.0,10.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0040734,TreVeyon Henderson,RB,negative,22,11,-15.0,-15.0,-9.0,CHOPPED|DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0033921,Chris Godwin,WR,negative,22,11,-14.0,-18.0,-12.0,CHOPPED|CHOPPED_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0039067,Rashee Rice,WR,positive,22,11,12.0,8.0,13.0,DYNASTY|DYNASTY_BESTBALL|REDRAFT,FORMAT_DEPENDENT_VALUE
00-0040784,Quinshon Judkins,RB,negative,22,11,-10.0,-11.0,-8.0,CHOPPED|DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0035676,A.J. Brown,WR,positive,22,11,9.0,9.0,11.0,CHOPPED|DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0040122,Ashton Jeanty,RB,negative,22,11,-9.0,-12.0,-9.0,CHOPPED|DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0034844,Saquon Barkley,RB,negative,22,11,-9.0,-9.0,-8.0,CHOPPED|CHOPPED_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0035640,DK Metcalf,WR,positive,22,11,8.0,8.0,16.0,CHOPPED|CHOPPED_BESTBALL|DYNASTY|DYNASTY_BESTBALL|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0041032,Kenyon Sadiq,TE,negative,22,10,-22.5,-26.0,-21.0,DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0031381,Davante Adams,WR,positive,22,10,17.0,14.0,19.0,DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0038994,Jordan Addison,WR,negative,22,10,-13.0,-13.0,-11.0,DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0041547,KC Concepcion,WR,negative,22,10,-9.0,-13.0,-9.0,DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0039337,Malik Nabers,WR,negative,22,10,-9.0,-10.0,-9.0,DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0033280,Christian McCaffrey,RB,positive,22,10,8.0,8.0,8.0,DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0034827,DJ Moore,WR,positive,22,7,9.0,9.0,11.0,CHOPPED|DYNASTY,FORMAT_DEPENDENT_VALUE
00-0035228,Kyler Murray,QB,positive,22,6,20.0,16.0,21.0,DYNASTY|DYNASTY_BESTBALL|REDRAFT,FORMAT_DEPENDENT_VALUE
00-0036264,Jordan Love,QB,negative,22,6,-11.0,-12.0,-8.0,DYNASTY|DYNASTY_BESTBALL|REDRAFT,FORMAT_DEPENDENT_VALUE
00-0039919,Rome Odunze,WR,negative,22,6,-10.0,-11.0,-10.0,DYNASTY,FORMAT_DEPENDENT_VALUE
00-0036410,Tee Higgins,WR,negative,22,6,-9.0,-15.0,-8.0,CHOPPED|REDRAFT|REDRAFT_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0040676,Cam Ward,QB,negative,22,5,-20.0,-20.0,-17.0,DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0041511,Omar Cooper,WR,negative,22,5,-13.0,-17.0,-13.0,DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0039163,C.J. Stroud,QB,negative,22,5,-11.0,-11.0,-11.0,DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0038124,Christian Watson,WR,positive,22,5,9.0,9.0,10.0,CHOPPED|DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0039732,Bo Nix,QB,negative,22,5,-8.0,-8.0,-8.0,DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0036355,Justin Herbert,QB,negative,22,5,-8.0,-9.0,-8.0,DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0041438,Carnell Tate,WR,negative,22,4,-14.0,-15.0,-13.0,DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0040867,Makai Lemon,WR,negative,22,4,-8.5,-9.0,-8.0,DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0040743,Tyler Shough,QB,positive,22,4,8.5,8.0,9.0,DYNASTY|DYNASTY_BESTBALL|REDRAFT,FORMAT_DEPENDENT_VALUE
00-0040189,Oronde Gadsden,TE,negative,22,4,-8.0,-8.0,-8.0,DYNASTY|DYNASTY_BESTBALL,FORMAT_DEPENDENT_VALUE
00-0038117,Wan'Dale Robinson,WR,positive,22,3,11.0,11.0,11.0,DYNASTY,FORMAT_DEPENDENT_VALUE
00-0033288,George Kittle,TE,positive,22,3,9.0,8.0,14.0,CHOPPED|REDRAFT,FORMAT_DEPENDENT_VALUE
00-0039910,Jayden Daniels,QB,negative,22,3,-8.0,-11.0,-8.0,CHOPPED|DYNASTY,FORMAT_DEPENDENT_VALUE
00-0037834,Brock Purdy,QB,positive,22,2,9.0,8.0,10.0,DYNASTY|REDRAFT,FORMAT_DEPENDENT_VALUE
00-0041438,Carnell Tate,WR,positive,22,2,8.5,8.0,9.0,CHOPPED|REDRAFT,FORMAT_DEPENDENT_VALUE
00-0037746,Brian Robinson,RB,negative,22,1,-26.0,-26.0,-26.0,CHOPPED,FORMAT_DEPENDENT_VALUE
00-0041512,Jadarian Price,RB,positive,22,1,21.0,21.0,21.0,CHOPPED,FORMAT_DEPENDENT_VALUE
00-0037664,Alec Pierce,WR,positive,22,1,18.0,18.0,18.0,CHOPPED,FORMAT_DEPENDENT_VALUE
00-0037263,Tyler Allgeier,RB,negative,22,1,-16.0,-16.0,-16.0,CHOPPED,FORMAT_DEPENDENT_VALUE
00-0038134,Kenneth Walker,RB,positive,22,1,14.0,14.0,14.0,CHOPPED,FORMAT_DEPENDENT_VALUE
00-0034753,Mark Andrews,TE,negative,22,1,-12.0,-12.0,-12.0,CHOPPED,FORMAT_DEPENDENT_VALUE
00-0036139,Rico Dowdle,RB,positive,22,1,10.0,10.0,10.0,CHOPPED,FORMAT_DEPENDENT_VALUE
00-0039361,Bucky Irving,RB,negative,22,1,-9.0,-9.0,-9.0,CHOPPED,FORMAT_DEPENDENT_VALUE
00-0036389,Jalen Hurts,QB,negative,22,1,-9.0,-9.0,-9.0,CHOPPED,FORMAT_DEPENDENT_VALUE
00-0037240,Jameson Williams,WR,positive,22,1,8.0,8.0,8.0,DYNASTY,FORMAT_DEPENDENT_VALUE
00-0033106,Jared Goff,QB,negative,22,1,-8.0,-8.0,-8.0,DYNASTY,FORMAT_DEPENDENT_VALUE
00-0035700,Josh Jacobs,RB,negative,22,1,-8.0,-8.0,-8.0,CHOPPED,FORMAT_DEPENDENT_VALUE
00-0040730,RJ Harvey,RB,negative,22,1,-8.0,-8.0,-8.0,CHOPPED,FORMAT_DEPENDENT_VALUE
